timestamp_ns,fix_time,fix_date,gga_fix_quality,avg_snr,latitude,longitude,altitude_m,speed_over_ground,true_course,num_of_fix_satellites,hdop,vdop,pdop,geoid_separation
1770930473777552239,00:09:35.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1770930475241159915,00:09:36.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1770930475965053932,00:09:37.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1770930476793236756,00:09:38.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1770930477498056345,00:09:39.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1770930478498607341,00:09:40.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1770930479496776281,00:09:41.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1770930480501256049,00:09:42.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1770930481500787372,00:09:43.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1770930482504004461,00:09:44.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1770930483507520578,00:09:45.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1770930484507193194,00:09:46.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1770930485504607911,00:09:47.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1770930486506103551,00:09:48.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1770930487509281384,00:09:49.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1770930488513268408,00:09:50.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1770930489512709940,00:09:51.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1770930490515965750,00:09:52.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1770930491514866266,00:09:53.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1770930492515440974,00:09:54.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1770930493512548078,00:09:55.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1770930494517596782,00:09:56.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1770930495516442704,00:09:57.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1770930496515950031,00:09:58.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1770930497520798938,00:09:59.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1770930498519034109,00:10:00.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
