timestamp_ns,fix_time,fix_date,gga_fix_quality,avg_snr,latitude,longitude,altitude_m,speed_over_ground,true_course,num_of_fix_satellites,hdop,vdop,pdop,geoid_separation
1776451784619466944,18:49:43,2026-04-17,Float,35.535713,35.771175383333336,-78.67416948333333,111.21,0.013,290.09,29,0.52,1.14,1.25,-33.026
1776451785508122632,18:49:44,2026-04-17,Float,37.07143,35.771175316666664,-78.6741695,111.214,0.024,290.09,29,0.5,1.03,1.15,-33.026
1776451786426601226,18:49:45,2026-04-17,Float,37.32143,35.77117526666667,-78.67416948333333,111.209,0.025,290.09,29,0.52,1.14,1.25,-33.026
1776451787350852976,18:49:46,2026-04-17,Float,36.42857,35.771175183333334,-78.67416951666667,111.185,0.014,290.09,29,0.51,1.06,1.17,-33.025
1776451788355191609,18:49:47,2026-04-17,Float,35.07143,35.771175416666665,-78.67416956666666,111.329,0.019,290.09,29,0.51,1.08,1.19,-33.026
1776451789348377964,18:49:48,2026-04-17,Float,34.07143,35.77117545,-78.67416946666667,111.32,0.017,290.09,29,0.55,1.24,1.35,-33.026
1776451790355998152,18:49:49,2026-04-17,Float,34.285713,35.771175516666666,-78.67416941666667,111.293,0.017,290.09,29,0.55,1.27,1.38,-33.026
1776451791350070614,18:49:50,2026-04-17,Float,35.07143,35.77117561666667,-78.67416933333334,111.301,0.011,290.09,29,0.52,1.09,1.21,-33.025
1776451792452045934,18:49:51,2026-04-17,Float,35.142857,35.77117571666667,-78.67416928333333,111.303,0.023,290.09,29,0.49,1.01,1.13,-33.026
1776451793455942609,18:49:52,2026-04-17,Float,34.464287,35.771175766666666,-78.67416921666667,111.322,0.019,290.09,29,0.48,1.01,1.12,-33.026
1776451794376266953,18:49:53,2026-04-17,Float,34.25,35.771175766666666,-78.67416916666667,111.292,0.025,290.09,29,0.49,1.02,1.13,-33.025
1776451795379448110,18:49:54,2026-04-17,Float,34.142857,35.771175883333335,-78.67416923333333,111.273,0.025,290.09,29,0.52,1.06,1.18,-33.026
1776451796459772193,18:49:55,2026-04-17,Float,35.285713,35.77117595,-78.67416935,111.282,0.021,290.09,29,0.51,1.01,1.13,-33.025
