timestamp_ns,fix_time,fix_date,gga_fix_quality,avg_snr,latitude,longitude,altitude_m,speed_over_ground,true_course,num_of_fix_satellites,hdop,vdop,pdop,geoid_separation
1776450397567577030,18:26:36,2026-04-17,DGPS,36.727272,35.771203533333335,-78.67417236666667,112.747,0.042,104.58,34,0.43,0.83,0.94,-33.026
1776450398461345450,18:26:37,2026-04-17,Float,37.81818,35.7712038,-78.6741719,112.697,0.033,104.58,34,0.45,0.83,0.94,-33.026
1776450399508930785,18:26:38,2026-04-17,Float,37.424244,35.771190016666665,-78.67416313333334,109.976,0.032,104.58,34,0.45,0.83,0.94,-33.026
1776450400498773086,18:26:39,2026-04-17,Float,35.545456,35.7711867,-78.67416261666666,110.015,0.026,104.58,34,0.44,0.81,0.92,-33.025
1776450401501323095,18:26:40,2026-04-17,Float,34.454544,35.7711852,-78.674163,110.092,0.041,104.58,34,0.45,0.81,0.93,-33.025
1776450402500841045,18:26:41,2026-04-17,Fixed,34.757576,35.7711859,-78.67416351666667,109.868,0.045,104.58,34,0.44,0.81,0.92,-33.026
1776450403403432718,18:26:42,2026-04-17,Fixed,36.4375,35.771183783333335,-78.67416378333333,109.098,0.075,104.58,33,0.46,0.91,1.02,-33.026
1776450404401740126,18:26:43,2026-04-17,Float,35.909092,35.771184133333335,-78.67416336666666,108.97,0.058,104.58,34,0.44,0.81,0.92,-33.026
1776450405402223385,18:26:44,2026-04-17,Float,36.6,35.771183883333336,-78.67416366666667,109.128,0.039,104.58,33,0.46,0.84,0.96,-33.026
1776450406391643061,18:26:45,2026-04-17,Float,34.666668,35.771183816666664,-78.67416378333333,109.166,0.131,104.58,33,0.47,0.9,1.01,-33.026
1776450407400843709,18:26:46,2026-04-17,Float,35.0,35.77118396666667,-78.67416361666666,109.137,0.155,104.58,34,0.45,0.85,0.96,-33.026
1776450408399264534,18:26:47,2026-04-17,Float,35.533333,35.771184033333334,-78.67416365,109.106,0.111,104.58,33,0.44,0.87,0.98,-33.026
1776450409399266894,18:26:48,2026-04-17,Float,36.166668,35.77118386666667,-78.6741636,109.143,0.1,104.58,33,0.48,0.97,1.08,-33.026
1776450410412061501,18:26:49,2026-04-17,Fixed,36.677418,35.77118396666667,-78.6741638,109.138,0.159,104.58,34,0.46,0.87,0.99,-33.026
1776450411399109499,18:26:50,2026-04-17,Fixed,36.741936,35.77118525,-78.67416433333334,109.062,0.163,104.58,34,0.45,0.9,1.01,-33.025
1776450412406094635,18:26:51,2026-04-17,Fixed,35.677418,35.77118525,-78.6741652,109.012,0.21,104.58,34,0.45,0.9,1.01,-33.026
1776450413405268246,18:26:52,2026-04-17,Fixed,35.83871,35.77118645,-78.67416646666666,108.991,0.331,104.58,34,0.44,0.87,0.98,-33.026
1776450414421994513,18:26:53,2026-04-17,Fixed,36.5,35.771187233333336,-78.67416815,108.946,0.341,104.58,33,0.45,0.88,0.99,-33.026
1776450415411682134,18:26:54,2026-04-17,Fixed,36.7,35.77118718333333,-78.67416956666666,109.081,0.29,104.58,33,0.44,0.81,0.92,-33.026
1776450416414721242,18:26:55,2026-04-17,Fixed,37.066666,35.7711881,-78.67417075,109.123,0.331,104.58,33,0.45,0.88,0.99,-33.026
1776450417414030790,18:26:56,2026-04-17,Fixed,35.7,35.7711885,-78.67417168333333,109.247,0.351,104.58,33,0.44,0.82,0.94,-33.025
1776450418415074449,18:26:57,2026-04-17,Fixed,34.833332,35.77118993333333,-78.67417285,109.054,0.4,104.58,33,0.45,0.88,0.99,-33.026
1776450419417946699,18:26:58,2026-04-17,Fixed,36.566666,35.7711901,-78.67417381666667,109.09,0.397,104.58,33,0.45,0.89,1.0,-33.026
1776450420314043523,18:26:59,2026-04-17,Fixed,37.366665,35.7711899,-78.67417623333333,109.061,0.349,104.58,33,0.45,0.89,1.0,-33.026
1776450421318624104,18:27:00,2026-04-17,Fixed,38.033333,35.77119055,-78.6741776,109.091,0.346,104.58,33,0.44,0.87,0.98,-33.026
1776450422321756553,18:27:01,2026-04-17,Fixed,36.451614,35.77119125,-78.67417875,109.089,0.352,104.58,34,0.43,0.91,1.0,-33.026
1776450423322857759,18:27:02,2026-04-17,Fixed,36.0,35.771191916666666,-78.67418001666667,109.099,0.349,104.58,33,0.44,0.91,1.01,-33.026
1776450424324188611,18:27:03,2026-04-17,Fixed,35.967743,35.77119256666667,-78.67418113333333,109.132,0.385,104.58,34,0.43,0.91,1.01,-33.026
1776450425327295444,18:27:04,2026-04-17,Fixed,36.48387,35.771192983333336,-78.67418226666666,109.159,0.38,104.58,34,0.45,0.94,1.04,-33.026
1776450426327027477,18:27:05,2026-04-17,Fixed,36.967743,35.77119345,-78.67418325,109.16,0.378,104.58,34,0.46,0.97,1.07,-33.026
1776450427326632305,18:27:06,2026-04-17,Fixed,36.733334,35.77119415,-78.67418463333334,109.161,0.396,104.58,33,0.44,0.91,1.01,-33.025
1776450428331442357,18:27:07,2026-04-17,Fixed,35.666668,35.77119471666666,-78.6741859,109.155,0.342,104.58,32,0.44,0.91,1.01,-33.026
1776450429329844088,18:27:08,2026-04-17,Fixed,35.1,35.771195516666666,-78.67418738333333,109.15,0.404,104.58,32,0.44,0.89,1.0,-33.026
1776450430334506062,18:27:09,2026-04-17,Fixed,36.5,35.77119616666667,-78.6741887,109.129,0.322,104.58,32,0.43,0.86,0.96,-33.026
1776450431333836477,18:27:10,2026-04-17,Fixed,37.333332,35.77119691666667,-78.67419011666667,109.138,0.353,104.58,32,0.42,0.82,0.92,-33.026
1776450432333048630,18:27:11,2026-04-17,Fixed,37.612904,35.77119783333333,-78.6741916,109.134,0.363,104.58,33,0.42,0.84,0.94,-33.026
1776450433327067020,18:27:12,2026-04-17,Fixed,36.580647,35.77119855,-78.67419293333333,109.137,0.354,104.58,33,0.44,0.89,0.99,-33.026
1776450434325993578,18:27:13,2026-04-17,Fixed,35.935482,35.7711992,-78.67419421666666,109.153,0.346,104.58,34,0.43,0.86,0.96,-33.026
1776450435323046782,18:27:14,2026-04-17,Fixed,35.866665,35.77119986666666,-78.67419556666667,109.138,0.35,104.58,33,0.44,0.89,0.99,-33.026
1776450436329267359,18:27:15,2026-04-17,Fixed,37.033333,35.77120065,-78.67419695,109.149,0.365,104.58,33,0.43,0.86,0.96,-33.026
1776450437329518265,18:27:16,2026-04-17,Fixed,36.967743,35.77120143333333,-78.67419843333333,109.163,0.366,104.58,34,0.43,0.86,0.96,-33.026
1776450438331974375,18:27:17,2026-04-17,Fixed,36.70968,35.77120228333333,-78.67419993333333,109.146,0.409,104.58,34,0.41,0.8,0.9,-33.026
1776450439335408966,18:27:18,2026-04-17,Fixed,36.064518,35.771203283333335,-78.67420183333333,109.127,0.449,104.58,33,0.43,0.86,0.96,-33.025
1776450440335377405,18:27:19,2026-04-17,Fixed,35.096775,35.771204366666666,-78.67420395,109.135,0.519,104.58,33,0.43,0.88,0.98,-33.026
1776450441335146120,18:27:20,2026-04-17,Fixed,36.4375,35.771205316666666,-78.67420573333334,109.138,0.43,104.58,34,0.43,0.86,0.96,-33.026
1776450442336885595,18:27:21,2026-04-17,Fixed,37.451614,35.77120625,-78.67420741666666,109.141,0.39,104.58,33,0.42,0.82,0.92,-33.026
1776450443337269697,18:27:22,2026-04-17,Fixed,37.16129,35.771207266666664,-78.67420915,109.136,0.348,104.58,33,0.43,0.89,0.99,-33.026
1776450444340074966,18:27:23,2026-04-17,Fixed,35.80645,35.771208466666664,-78.67421113333333,109.13,0.422,104.58,33,0.43,0.89,0.99,-33.025
1776450445339857695,18:27:24,2026-04-17,Fixed,35.866665,35.77120961666667,-78.67421303333333,109.13,0.446,104.58,33,0.43,0.86,0.96,-33.026
1776450446343070721,18:27:25,2026-04-17,Fixed,36.833332,35.77121095,-78.67421515,109.127,0.459,104.58,33,0.43,0.89,0.99,-33.026
1776450447342861189,18:27:26,2026-04-17,Fixed,37.424244,35.771211566666665,-78.67421615,109.133,0.255,104.58,33,0.41,0.82,0.92,-33.026
1776450448345548212,18:27:27,2026-04-17,Fixed,37.451614,35.7712123,-78.67421726666667,109.161,0.24,104.58,34,0.42,0.82,0.92,-33.026
1776450449345970437,18:27:28,2026-04-17,Fixed,36.966667,35.771213333333336,-78.6742192,109.157,0.472,104.58,33,0.41,0.82,0.91,-33.026
1776450450345313939,18:27:29,2026-04-17,Fixed,36.903225,35.77121426666667,-78.67422145,109.166,0.454,104.58,34,0.41,0.79,0.89,-33.026
1776450451349267515,18:27:30,2026-04-17,Fixed,36.833332,35.77121518333333,-78.67422335,109.176,0.475,104.58,33,0.42,0.81,0.91,-33.026
1776450452349096569,18:27:31,2026-04-17,Fixed,37.833332,35.771216,-78.67422518333333,109.187,0.468,104.58,33,0.41,0.79,0.89,-33.025
1776450453346933844,18:27:32,2026-04-17,Fixed,37.9,35.771217033333336,-78.6742271,109.186,0.448,104.58,33,0.41,0.79,0.89,-33.026
1776450454350468862,18:27:33,2026-04-17,Fixed,37.466667,35.7712179,-78.6742286,109.192,0.264,104.58,33,0.43,0.86,0.96,-33.025
1776450455350046561,18:27:34,2026-04-17,Fixed,36.8,35.77121781666666,-78.67422855,109.208,0.119,104.58,33,0.43,0.86,0.96,-33.025
1776450456350500353,18:27:35,2026-04-17,Fixed,35.35484,35.77121773333333,-78.67422845,109.227,0.025,104.58,34,0.44,0.81,0.92,-33.026
1776450457353186793,18:27:36,2026-04-17,Fixed,35.533333,35.77121758333333,-78.67422806666667,109.292,0.014,104.58,34,0.41,0.78,0.88,-33.025
1776450458352385508,18:27:37,2026-04-17,Fixed,36.931034,35.771217533333335,-78.67422805,109.313,0.045,104.58,33,0.43,0.82,0.93,-33.026
1776450459356998762,18:27:38,2026-04-17,Fixed,36.931034,35.7712172,-78.67422801666666,109.299,0.103,104.58,33,0.43,0.87,0.97,-33.025
1776450460279135403,18:27:39,2026-04-17,Fixed,35.766666,35.77121685,-78.67422801666666,109.324,0.053,104.58,34,0.44,0.83,0.94,-33.025
1776450461264759998,18:27:40,2026-04-17,Fixed,34.033333,35.77121655,-78.67422876666667,109.202,0.078,104.58,34,0.46,0.84,0.95,-33.026
1776450462282239791,18:27:41,2026-04-17,Fixed,33.633335,35.771216583333334,-78.67422876666667,109.193,0.072,104.58,34,0.45,0.84,0.95,-33.026
1776450463268622477,18:27:42,2026-04-17,Fixed,36.466667,35.77121618333334,-78.67422936666667,109.214,0.186,104.58,34,0.42,0.78,0.89,-33.026
1776450464270210207,18:27:43,2026-04-17,Fixed,37.366665,35.771216233333334,-78.67422946666667,109.163,0.139,104.58,34,0.44,0.81,0.92,-33.025
1776450465274229029,18:27:44,2026-04-17,Fixed,37.655174,35.7712163,-78.67422968333334,109.103,0.105,104.58,34,0.44,0.81,0.92,-33.026
1776450466273788829,18:27:45,2026-04-17,Fixed,36.75862,35.771216233333334,-78.67422971666667,109.164,0.082,104.58,33,0.42,0.8,0.9,-33.026
1776450467673715845,18:27:46,2026-04-17,Fixed,35.96552,35.7712162,-78.67422966666666,109.157,0.058,104.58,33,0.44,0.83,0.94,-33.026
1776450468405305061,18:27:47,2026-04-17,Fixed,37.482758,35.7712163,-78.67422968333334,109.138,0.048,104.58,33,0.43,0.82,0.92,-33.026
1776450469372161104,18:27:48,2026-04-17,Fixed,38.344826,35.77121625,-78.67422973333333,109.184,0.064,104.58,33,0.4,0.76,0.86,-33.026
1776450470378271645,18:27:49,2026-04-17,Fixed,38.62069,35.7712163,-78.67422968333334,109.164,0.05,104.58,33,0.4,0.76,0.86,-33.026
1776450471406334250,18:27:50,2026-04-17,Fixed,37.517242,35.77121631666667,-78.67422966666666,109.144,0.044,104.58,34,0.41,0.77,0.87,-33.026
1776450472297473923,18:27:51,2026-04-17,Fixed,36.3125,35.77121628333333,-78.67422973333333,109.152,0.084,104.58,33,0.41,0.77,0.87,-33.026
1776450473575991194,18:27:52,2026-04-17,Fixed,36.793102,35.771216216666666,-78.67422971666667,109.134,0.115,104.58,33,0.42,0.77,0.88,-33.026
1776450474379909623,18:27:53,2026-04-17,Fixed,38.37931,35.7712162,-78.67422978333333,109.142,0.102,104.58,33,0.4,0.76,0.86,-33.026
1776450475284487986,18:27:54,2026-04-17,Fixed,37.966667,35.77121616666667,-78.67422973333333,109.14,0.074,104.58,34,0.41,0.76,0.87,-33.026
1776450476290081226,18:27:55,2026-04-17,Fixed,37.60606,35.77121616666667,-78.67422976666667,109.148,0.067,104.58,34,0.41,0.78,0.88,-33.026
1776450477284389108,18:27:56,2026-04-17,Fixed,35.833332,35.77121613333333,-78.67422988333334,109.151,0.068,104.58,34,0.42,0.79,0.9,-33.025
1776450478313273375,18:27:57,2026-04-17,Fixed,36.515152,35.771216116666665,-78.67422988333334,109.139,0.053,104.58,33,0.42,0.79,0.9,-33.026
1776450479286777562,18:27:58,2026-04-17,Fixed,37.533333,35.77121615,-78.6742299,109.144,0.054,104.58,34,0.4,0.76,0.86,-33.026
1776450480316132457,18:27:59,2026-04-17,Fixed,38.090908,35.77121615,-78.67422991666666,109.135,0.043,104.58,33,0.41,0.78,0.88,-33.026
1776450481295063052,18:28:00,2026-04-17,Fixed,38.466667,35.77121615,-78.67422995,109.144,0.049,104.58,33,0.4,0.76,0.86,-33.026
