timestamp_ns,pos_x,pos_y,vel_n,vel_e,distance_traveled,yaw_imu_deg,q_pos,q_vel,q_ori,r_fixed,r_float,error_percent
1776358080130964117,1.064406941831719e-6,-8.42837878428061e-6,0.0001795059237633868,-0.001421396140931234,0.0007145370955676464,359.6604820525106,0.01,0.1,0.001,0.0001,0.25,0.0
1776358083033493068,0.00016419413992365564,0.00015288594463315624,0.00368801641313679,0.005245878273494954,0.04753812943763698,0.2388248484597196,0.01,0.1,0.001,0.0001,0.25,0.0
1776358083135336054,0.0008121321041547861,0.0011244380075877312,0.009036206683078377,0.013833487161267984,0.20115989395418354,358.789707227417,0.01,0.1,0.001,0.0001,0.25,99.0
1776358083233078729,0.0018077456705842536,0.0023137383239168613,0.011336516507707981,0.010502547372874232,0.44805780937272,357.39888828569957,0.01,0.1,0.001,0.0001,0.25,99.0
1776358083341675998,0.0030928710256675662,0.003435595782729362,0.012329711205533464,0.010157020175953579,0.836744400292864,357.0253833817216,0.01,0.1,0.001,0.0001,0.25,91.0
1776358083434548552,0.004271933906085705,0.004702831590266984,0.013060136061321243,0.017131535963697868,1.2646657129884629,357.02393366470807,0.01,0.1,0.001,0.0001,0.25,83.2
1776358083532689160,0.00554139720890032,0.006899047206965129,0.012809379178033861,0.027623624141453508,1.8123495251874733,357.02423507199126,0.01,0.1,0.001,0.0001,0.25,83.2
1776358083635062877,0.0067307374883670435,0.010153953208628653,0.010429518959303923,0.03597501985064577,2.487793009102079,357.3762373619054,0.01,0.1,0.001,0.0001,0.25,74.8
1776358083733030482,0.007651950639082864,0.013946906726154115,0.008374225621024686,0.041446507505089186,3.2341031078545943,357.7206569924702,0.01,0.1,0.001,0.0001,0.25,63.8
1776358083835999636,0.008682254348182145,0.018731712422025704,0.011637071001722923,0.05148741597462542,4.123710251511517,357.0247048162288,0.01,0.1,0.001,0.0001,0.25,50.2
1776358083935038277,0.0098977001614869,0.024295292772426386,0.012908190358749107,0.06086603681260382,5.081176234332995,356.74086266972716,0.01,0.1,0.001,0.0001,0.25,35.4
1776358084036629555,0.01127819303650707,0.03074628063299742,0.014276359958718449,0.06616627698365787,6.166822592426163,356.0207499366675,0.01,0.1,0.001,0.0001,0.25,1.6
1776358084135151447,0.01266434198855793,0.03765774263331618,0.013854938978804134,0.07409888235483203,7.320531634341004,356.03220689340844,0.01,0.1,0.001,0.0001,0.25,23.4
1776358084233288961,0.014034639934416771,0.04518105466239316,0.014073500150484341,0.0792359180728445,8.567510318110909,355.6830262390915,0.01,0.1,0.001,0.0001,0.25,46.4
1776358084335161447,0.015594627094452996,0.053436238851808635,0.01655132835100257,0.08282541584426578,9.965913051444822,355.6715325488753,0.01,0.1,0.001,0.0001,0.25,71.4
1776358084433563707,0.01720070153070696,0.06192541925880267,0.016091349029620894,0.0897130238420985,11.41687416978248,356.010083523766,0.01,0.1,0.001,0.0001,0.25,99.4
1776358084536473136,0.018890455322971872,0.07155250562536566,0.01674697502005866,0.09737777199254388,13.03982775061092,356.3641490476871,0.01,0.1,0.001,0.0001,0.25,99.4
1776358084634313164,0.020600168921486972,0.08135250046137613,0.018203207894360283,0.10295496933699848,14.682872759876691,356.0130333788388,0.01,0.1,0.001,0.0001,0.25,128.4
1776358084732311065,0.02240096526971974,0.0918636524854472,0.018546941859696964,0.11155369031869236,16.42644163823062,356.69441081317956,0.01,0.1,0.001,0.0001,0.25,160.8
1776358084835529833,0.024296006135475064,0.1038128180350471,0.018172736333179725,0.11998195705629577,18.36846031586045,356.33766364934314,0.01,0.1,0.001,0.0001,0.25,193.6
1776358084934503769,0.02617640693851982,0.1159718057744584,0.019826740841701714,0.12572905111031044,20.33242887739579,356.3362241020384,0.01,0.1,0.001,0.0001,0.25,228.6
1776358085035692706,0.028187777487791117,0.1290167810619608,0.019931882183428357,0.13213007634676008,22.443328237263373,356.67971181052275,0.01,0.1,0.001,0.0001,0.25,267.4
1776358085133756366,0.03012958517718081,0.14220106327672066,0.01966634906838206,0.1367298415956185,24.588955992233245,357.017108349634,0.01,0.1,0.001,0.0001,0.25,348.8
1776358085236806797,0.03215505339987622,0.15670353055473685,0.019645339200845734,0.14474407459812025,26.94883194791162,356.66257733432553,0.01,0.1,0.001,0.0001,0.25,391.8
1776358085334803364,0.03413315329607462,0.17136756103797024,0.020724545292286206,0.15452555174865795,29.293347931893475,356.9974786386909,0.01,0.1,0.001,0.0001,0.25,391.8
1776358085433134252,0.036174857172748716,0.18698921003469487,0.020800853728151807,0.16319692277733952,31.744170960201803,357.32203256796737,0.01,0.1,0.001,0.0001,0.25,391.8
1776358085535264500,0.03829508441092177,0.20410507305672904,0.02071880375049223,0.17197694789634918,34.39371471476096,356.97092836331757,0.01,0.1,0.001,0.0001,0.25,439.0
1776358085634261806,0.04039991417702206,0.22125951875362962,0.021808606141393076,0.17462312179566178,37.06282855610085,356.95091951094133,0.01,0.1,0.001,0.0001,0.25,534.8
1776358085732852754,0.04343523913723904,0.23915180451351464,0.0397675747213117,0.18834909318560294,39.82042830084494,357.2671564173085,0.01,0.1,0.001,0.0001,0.25,587.8
1776358085834884445,0.047870242585116934,0.25940982450805955,0.047170464485907934,0.20876278220405414,42.77850361351539,357.9709812897359,0.01,0.1,0.001,0.0001,0.25,641.2
1776358085932530154,0.05261416521047309,0.28019887547177036,0.04998006394522378,0.21697503989092656,45.70918202450478,357.6459885555633,0.01,0.1,0.001,0.0001,0.25,696.4
