timestamp_ns,time_ms,voltage_left,current_left_ma,voltage_right,current_right_ma,motor_current_left,motor_current_right,euler_x,euler_y,euler_z,acc_lin_x,acc_lin_y,acc_lin_z,sonar_mm,tof_mm,rpm_left,rpm_right,rotations_left,rotations_right
1772411626480175960,143994,9.34,2.4,11.224,-0.8,0.04,-0.12,8.56,8.88,12.38,0.0,-0.07,-0.09,173.39,184.0,0.0,24.0,,
1772411626485737999,3717,9.316,2.4,11.232,-1.1,-0.12,-0.06,-0.06,8.94,12.81,0.0,-0.01,-0.03,173.39,184.0,0.0,0.0,0.0,
1772411626492711654,4597,9.34,2.4,11.232,-0.9,0.06,-0.18,-0.06,8.94,12.81,-0.01,-0.01,-0.01,173.39,183.0,0.0,0.0,0.0,
1772411626498433453,4697,9.26,2.5,11.224,-0.8,0.1,-0.02,-0.06,8.94,12.81,-0.01,0.0,-0.01,173.39,183.0,0.0,0.0,0.0,
1772411626501894707,4796,9.34,2.2,11.228,-0.9,0.02,0.08,-0.06,8.94,12.81,0.0,0.02,-0.06,173.22,183.0,0.0,0.0,0.0,
1772411626569012527,4895,9.264,2.4,11.228,-0.9,0.02,0.04,-0.06,8.94,12.81,0.0,0.01,-0.04,173.39,183.0,0.0,0.0,0.0,
1772411626579889456,4995,9.32,2.5,11.232,-0.9,-0.1,-0.08,-0.06,8.94,12.81,0.0,-0.01,0.0,173.22,185.0,0.0,0.0,0.0,
1772411626591877796,5095,9.26,2.4,11.224,-0.8,-0.08,0.08,-0.06,8.94,12.81,0.01,-0.01,-0.04,173.22,183.0,0.0,0.0,0.0,
1772411626602762317,5195,9.328,2.5,11.228,-1.0,-0.06,-0.1,-0.06,8.94,12.81,-0.01,0.01,-0.03,173.22,183.0,0.0,0.0,0.0,
1772411626671375717,5296,9.26,2.4,11.22,-1.1,-0.02,-0.02,-0.06,8.94,12.81,-0.03,0.01,-0.04,173.22,184.0,0.0,0.0,0.0,
1772411626682260739,5396,9.336,2.5,11.224,-0.9,0.0,-0.08,-0.06,8.94,12.81,-0.01,-0.01,0.01,173.39,183.0,0.0,0.0,0.0,
1772411626693555391,5496,9.296,2.4,11.224,-0.9,-0.12,-0.04,-0.06,8.94,12.81,0.0,0.03,-0.04,173.22,183.0,0.0,0.0,0.0,
1772411626704771766,5597,9.328,2.6,11.22,-0.9,-0.06,-0.14,-0.06,8.94,12.81,0.02,0.02,-0.12,173.39,184.0,0.0,0.0,0.0,
1772411626769680949,5697,9.26,2.0,11.232,-1.1,0.0,0.1,-0.06,8.94,12.81,-0.05,0.0,-0.12,173.39,184.0,0.0,0.0,0.0,
1772411626780898749,5797,9.332,2.2,11.224,-0.9,-0.04,-0.21,-0.06,8.94,12.81,-0.01,0.01,-0.01,173.22,184.0,0.0,0.0,0.0,
1772411626792257661,5898,9.288,2.5,11.216,-0.9,-0.02,-0.06,-0.06,8.94,12.81,-0.01,0.0,-0.02,173.39,183.0,0.0,0.0,0.0,
1772411626803467850,5998,9.3,2.6,11.22,-0.9,-0.06,-0.08,-0.06,8.94,12.81,0.02,-0.02,-0.14,173.22,183.0,0.0,0.0,0.0,
1772411626867937606,6098,9.32,2.2,11.212,-1.0,-0.23,-0.14,-0.06,8.94,12.81,0.0,-0.01,0.0,176.99,183.0,0.0,0.0,0.0,
1772411626879100998,6198,9.24,2.2,11.2,-0.8,-0.14,-0.04,-0.06,8.94,12.81,0.0,-0.04,-0.1,173.39,184.0,0.0,0.0,0.0,
1772411626890495392,6298,9.212,2.5,11.156,-0.8,0.06,0.0,0.0,8.88,12.81,-0.18,0.01,0.0,173.39,184.0,0.0,0.0,0.0,
1772411626958158900,6398,9.3,2.4,11.16,-0.8,0.02,-0.08,-0.06,8.88,12.75,-0.61,-0.12,0.54,169.79,183.0,0.0,0.0,0.0,
