timestamp_ns,pos_x,pos_y,vel_n,vel_e,distance_traveled,yaw_imu_deg,q_pos,r_fixed
1776192135665779722,0.00009726164892745791,0.000011516402428258795,0.0019720809277410435,0.00023350701777530934,0.049572237163636526,0.3390925346508223,0.01,0.0001
1776192135760821696,0.0003484589963837478,0.00007686691200311129,0.0030997785080728413,0.0010859678969832377,0.19912753469542754,359.9985673912581,0.01,0.0001
1776192135862373900,0.0007407831806963592,0.00029478039853882804,0.004626081556762908,0.003205302359947742,0.4563643486067829,359.9964571677407,0.01,0.0001
1776192135960697284,0.0013842377033818393,0.0007692256006041627,0.008462990783912425,0.006445803277792808,0.8056079254979133,359.98680040827855,0.01,0.0001
1776192136062608391,0.0024290842312708043,0.0015555028134390516,0.012043117143848937,0.008985635653346615,1.2715945703009188,0.6801696085613627,0.01,0.0001
1776192136161629591,0.0038313133801239916,0.002642143171656971,0.016275274092608823,0.012959355878534206,1.8259081850962797,0.6801696085613627,0.01,0.0001
1776192136259337862,0.0055631383151888225,0.0040962053051392085,0.019174793013758802,0.016804969120541836,2.4706804831848452,1.3706926308402243,0.01,0.0001
1776192136361783049,0.007702752991835515,0.00599333826828354,0.022597920482696265,0.020233658721696995,3.2510160388618603,1.3511341401808485,0.01,0.0001
1776192136461506676,0.010213870567924416,0.008133585711581652,0.027762635007909063,0.02268908259403056,4.113303576716072,1.650326291138168,0.01,0.0001
1776192136563777256,0.013318230278063921,0.010607936945864833,0.032946678754379184,0.0256996930203303,5.102802973038391,1.3079989731691,0.01,0.0001
1776192136663713655,0.016824485389105106,0.013262837168581707,0.0372354590862248,0.0274414982173022,6.172505985537347,1.9959875918581627,0.01,0.0001
1776192136765960477,0.02085505561899726,0.0161998488448571,0.041597368911025924,0.03000271515593315,7.3726422685911235,2.0094879361810407,0.01,0.0001
1776192136861787666,0.025140356966133374,0.01912441799166298,0.04782985446588343,0.031028254940816832,8.5941873027357,1.3477950935037015,0.01,0.0001
1776192136963910472,0.030240803542217698,0.022373475139103587,0.05206566545925252,0.03260661470607435,9.998621856789496,1.3477950935037015,0.01,0.0001
1776192137062228928,0.03553755044985571,0.02562666322532639,0.055677226432604886,0.033567566992572226,11.45122339599444,1.0065175590732691,0.01,0.0001
1776192137160924276,0.04115183938160647,0.029003684512085095,0.05808933434448811,0.03486355618899949,13.00852868771854,1.3460730625728894,0.01,0.0001
1776192137263112206,0.04735968935215045,0.03266915403090264,0.06340625438214322,0.03687438516934105,14.725837266197544,0.9930778787475351,0.01,0.0001
1776192137361757924,0.053758402600132336,0.036428351657733865,0.06633886801942164,0.039349933271357704,16.48460565815191,0.9909890923360631,0.01,0.0001
1776192137464295995,0.06083045998500228,0.040551472146273054,0.07158798484386382,0.041063587435785344,18.418278056998243,0.9909890923360631,0.01,0.0001
1776192137563231762,0.06815813732563471,0.04470377922450376,0.07654544798863891,0.04287781351295332,20.385416377325225,0.9858621546634649,0.01,0.0001
1776192137662783366,0.07600777647270106,0.0491229565064389,0.08118690568060177,0.045922094470304035,22.46515297221564,1.6719762659821467,0.01,0.0001
1776192137763481758,0.08448677838240522,0.05395368743837813,0.08719617297967096,0.05001058194157296,24.67222447769506,1.661721568015212,0.01,0.0001
1776192137861764800,0.09332565780954422,0.05901451886670898,0.09266482480787022,0.05297149829127902,26.925795988925156,1.6544646814043538,0.01,0.0001
1776192137972159312,0.10390536585842847,0.0649279475778105,0.099032770538255,0.054176076947193445,29.573906216088865,1.2589286339876284,0.01,0.0001
1776192138062490816,0.11306049571675536,0.06991918080830624,0.10361654689964842,0.05630515302830252,31.833816566002582,1.5868819730246784,0.01,0.0001
1776192138164102986,0.12393532984679995,0.0757452856751771,0.11043945728509866,0.05837362853749723,34.474418198551234,1.9429709876666081,0.01,0.0001
1776192138262869071,0.13516419782441014,0.08172155975590181,0.11693670961186475,0.06264144577902,37.14199318138041,2.288807777700171,0.01,0.0001
1776192138360569069,0.14685009148521255,0.08800921121642179,0.12230299542624201,0.06608263168224343,39.87822032877831,1.6221382746579789,0.01,0.0001
1776192138463342528,0.15966886994163543,0.09494805949876776,0.12715920285502677,0.06895210286275698,42.86169529973416,1.6184684710652306,0.01,0.0001
1776192138561733344,0.17247590230536577,0.10179138752612053,0.1331873375732687,0.07016184065962347,45.81863073727023,1.9628937538835256,0.01,0.0001
1776192138664105126,0.18629857423094337,0.10911315504283967,0.136845558472619,0.07287259561719335,49.00036788841214,1.9695741804198428,0.01,0.0001
1776192138763062578,0.20009544997060227,0.11645316786320853,0.14198615703124304,0.07546739128584079,52.177588962797394,1.2824289403686122,0.01,0.0001
1776192138861060236,0.214271374960778,0.12397869132253925,0.14732168784219088,0.07811644716366338,55.422429097588186,1.6057169079064217,0.01,0.0001
1776192138964020838,0.22966999274016808,0.13210325966749703,0.15178736945382618,0.079698495282011,58.93729182529108,1.6057169079064217,0.01,0.0001
1776192139061414220,0.24470605998753397,0.1399529789856207,0.15697620127670303,0.08149441015148101,62.3615188770986,1.270943150945822,0.01,0.0001
1776192139163149863,0.2609293789589287,0.14828693102696794,0.1619360439469684,0.0823314606076854,66.04180525819696,1.2709431509458218,0.01,0.0001
1776192139261680981,0.2771376564951289,0.15647495811546538,0.16707447287640975,0.08387664004542836,69.7064707228327,0.5981893158083672,0.01,0.0001
1776192139364672060,0.294673581438299,0.16524670105576,0.17347127408294039,0.0864696497236485,73.64292305066434,0.2429495276256016,0.01,0.0001
1776192139462442397,0.31187536416849365,0.17379870924871968,0.1783958231683971,0.0884639804543635,77.48026417505963,0.5780809060991708,0.01,0.0001
1776192139565167352,0.33043835168666397,0.18289680276610334,0.18303060909520652,0.08867838292706226,81.61671121795753,0.9295307028719514,0.01,0.0001
1776192139663126537,0.3486375440677784,0.19170667595695898,0.1885277340202485,0.0911857460574972,85.66178258215011,0.9308211928550715,0.01,0.0001
1776192139764999455,0.3681168623160461,0.20095376850688185,0.19395496715274316,0.0903839008579271,89.97140901639699,0.9284072336341939,0.01,0.0001
1776192139864568587,0.3877450756761142,0.20993451548232048,0.20026303273159315,0.0899876920720389,94.28683584703947,0.24236113950047714,0.01,0.0001
1776192139966033977,0.4084469996167335,0.21914846114087283,0.20781195652947757,0.09163701036870309,98.78783646056168,0.2423611395004772,0.01,0.0001
1776192140064832798,0.4292720144825126,0.22831763400615163,0.21371486263281514,0.09395960491157952,103.27208960477876,0.581898270271918,0.01,0.0001
1776192140166935456,0.4515406066227575,0.23803518600998122,0.22247150163955284,0.09638308273941804,108.01062574309832,0.22692517163301565,0.01,0.0001
1776192140265402500,0.47376871920839914,0.24762065254658752,0.22901501364878493,0.09831220987039462,112.68089961334357,0.9073020351654698,0.01,0.0001
1776192140367491844,0.49738074455830356,0.2577447190243001,0.23359644856460443,0.10004049928503186,117.62692795613302,0.9048841079733249,0.01,0.0001
1776192140466193976,0.5206228290002083,0.2676171420050002,0.23731802142239045,0.09998746494788881,122.51055252516949,0.21876049146409252,0.01,0.0001
1776192140564224380,0.5440713277127448,0.27746726908562713,0.24108690651152384,0.10097846442429005,127.45869012792124,0.21876049146409254,0.01,0.0001
1776192140666701364,0.568973791694755,0.28788330259611195,0.24492642312490073,0.10230789035941205,132.73610006508702,359.51343249499075,0.01,0.0001
1776192140765706472,0.593438515677775,0.29811941969789163,0.24928714705855512,0.10447261455033469,137.9362975023609,359.8571757577428,0.01,0.0001
1776192140868110642,0.619173386255078,0.3090164897406492,0.2533443883998965,0.10835966028613522,143.41996698773835,359.50271368630246,0.01,0.0001
1776192140966691869,0.6443590537878644,0.31979974585151294,0.2576091483235262,0.1104053512057287,148.8002284701212,359.1631805055536,0.01,0.0001
