timestamp_ns,time_ms,voltage_left,current_left_ma,voltage_right,current_right_ma,motor_current_left,motor_current_right,euler_x,euler_y,euler_z,acc_lin_x,acc_lin_y,acc_lin_z,sonar_mm,tof_mm,rpm_left,rpm_right,rotations_left,rotations_right
1775673582030343734,20117,-0.06,0.19,-0.12,166.18,157.0,0.0,0.0,0.0,,0.0,0.0,10.0,,,,,,
1775673582036951553,71351,9.312,2.0,10.9,0.1,-0.02,-0.16,14.5,0.31,-0.37,0.0,0.05,-0.34,-0.06,0.19,-0.12,166.18,157.0,0.0
1775673582043876832,2972,9.052,2.3,10.908,-0.7,0.12,0.02,0.0,0.44,-0.63,-0.01,0.0,-0.39,-0.06,-0.12,-0.06,166.18,157.0,0.0
1775673582050600947,3089,9.044,2.4,10.896,-0.7,-0.1,-0.02,0.0,0.44,-0.63,0.0,-0.02,-0.37,-0.06,-0.06,0.0,167.21,157.0,0.0
1775673582054092503,3189,9.052,2.4,10.908,-0.8,-0.02,-0.02,0.0,0.44,-0.63,0.0,-0.02,-0.37,-0.06,0.06,-0.06,166.18,158.0,0.0
1775673582069934595,3289,9.096,2.4,10.904,-0.7,0.12,0.0,0.0,0.44,-0.63,0.0,0.0,-0.37,-0.19,0.06,0.0,166.18,158.0,0.0
1775673582075380668,3389,9.1,2.8,10.908,-0.7,0.06,0.04,0.0,0.44,-0.63,0.0,0.0,-0.36,-0.06,-0.06,-0.06,166.18,157.0,0.0
1775673582078287582,3489,9.116,2.7,10.896,-1.0,0.0,-0.06,0.0,0.44,-0.63,0.0,-0.01,-0.35,0.06,-0.06,0.06,166.18,158.0,0.0
1775673582102699362,3589,9.028,2.2,10.912,-0.9,-0.04,0.06,0.0,0.44,-0.63,0.0,0.0,-0.35,-0.06,0.06,-0.06,166.18,158.0,0.0
1775673582111130144,3689,9.104,2.4,10.904,-0.9,-0.04,0.02,0.0,0.44,-0.63,-0.01,0.0,-0.36,0.0,-0.06,-0.06,170.3,157.0,0.0
1775673582119234059,3789,9.096,2.3,10.896,-0.7,0.04,0.08,0.0,0.44,-0.63,0.0,-0.01,-0.35,0.06,0.0,0.0,166.18,158.0,0.0
1775673582123231109,3889,9.1,2.2,9.616,0.0,0.0,-0.12,0.0,0.44,-0.63,-0.01,0.0,-0.36,0.0,0.0,0.12,170.47,158.0,0.0
1775673582196847910,3989,10.916,1.6,9.656,-0.2,-0.08,-0.04,0.0,0.44,-0.63,0.0,0.0,-0.36,0.0,0.12,0.0,166.18,160.0,0.0
1775673582201002366,4089,10.92,1.7,10.904,-1.1,0.0,-0.02,0.0,0.44,-0.63,-0.01,-0.01,-0.36,0.0,0.06,-0.06,166.18,156.0,0.0
1775673582204980028,4189,9.256,2.0,10.896,-0.5,-0.08,-0.02,0.0,0.44,-0.63,0.0,0.0,-0.36,-0.06,0.06,0.0,166.18,156.0,0.0
1775673582229603992,4289,9.328,2.3,10.904,-1.0,0.06,-0.02,0.0,0.44,-0.63,-0.01,0.0,-0.37,-0.06,0.06,0.06,166.18,158.0,0.0
1775673582238014811,4389,9.256,2.0,10.916,-0.8,-0.08,0.0,0.0,0.44,-0.63,0.0,0.0,-0.35,0.12,-0.12,-0.06,166.18,158.0,0.0
1775673582241931307,4490,9.316,2.0,10.904,-0.7,0.02,-0.12,0.0,0.44,-0.63,0.0,-0.01,-0.37,-0.12,-0.06,0.0,166.7,158.0,0.0
1775673582246152614,4590,9.256,2.3,10.908,-1.1,-0.08,0.0,0.0,0.44,-0.63,-0.01,-0.01,-0.37,0.06,0.0,-0.06,166.18,159.0,0.0
1775673582250275256,4690,9.264,2.2,10.9,-1.0,0.06,-0.04,0.0,0.44,-0.63,0.01,0.0,-0.36,0.06,0.06,0.0,166.18,159.0,0.0
1775673582327912515,4790,9.316,2.1,10.896,-0.8,-0.04,-0.12,0.0,0.44,-0.63,0.0,0.02,-0.38,0.06,-0.06,-0.06,167.21,157.0,0.0
1775673582336226409,4890,9.316,2.2,10.904,-1.0,-0.12,0.04,0.0,0.44,-0.63,0.0,0.0,-0.37,0.06,0.0,0.06,166.18,158.0,0.0
1775673582340223737,4990,9.26,1.7,9.468,0.0,0.04,-0.08,0.0,0.44,-0.63,-0.02,0.0,-0.36,0.06,-0.12,-0.06,166.18,158.0,0.0
1775673582344512766,5089,10.916,1.7,9.452,0.3,-0.04,-0.08,0.0,0.44,-0.63,0.0,-0.01,-0.38,0.06,0.0,0.0,166.18,158.0,0.0
1775673582348467391,5189,10.92,1.6,9.444,0.2,-0.06,0.0,0.0,0.44,-0.63,0.0,0.0,-0.4,0.0,0.06,0.06,174.59,158.0,0.0
1775673582352456534,5289,9.04,2.6,10.912,-0.6,0.06,-0.04,0.0,0.44,-0.63,0.0,0.0,-0.37,0.06,0.0,0.06,166.18,158.0,0.0
1775673582356650861,5389,9.084,2.6,10.908,-1.1,0.14,0.08,0.0,0.44,-0.63,0.0,0.0,-0.35,0.0,0.12,-0.06,166.18,157.0,0.0
1775673582430306439,5489,9.036,2.4,10.908,-0.8,0.02,-0.16,0.0,0.44,-0.63,-0.01,-0.02,-0.38,-0.12,0.06,0.0,166.18,157.0,0.0
1775673582434365544,5590,9.12,2.4,10.904,-0.9,0.02,-0.1,0.0,0.44,-0.63,-0.02,0.0,-0.38,-0.12,0.25,-0.06,166.18,158.0,0.0
1775673582438654833,5690,9.096,2.6,10.908,-0.8,0.1,-0.06,0.0,0.44,-0.63,0.0,-0.02,-0.37,0.0,-0.12,0.12,167.21,157.0,0.0
1775673582442646587,5790,9.036,2.5,10.9,-0.9,0.04,0.08,0.0,0.44,-0.63,0.0,-0.01,-0.39,0.06,0.0,0.0,166.18,157.0,0.0
1775673582446831710,5891,9.1,2.3,10.9,-0.9,-0.06,0.02,0.0,0.44,-0.63,-0.01,0.0,-0.38,0.0,0.19,0.0,166.18,158.0,0.0
1775673582520403677,5991,9.048,2.4,10.92,-0.9,-0.06,0.02,0.0,0.44,-0.63,0.0,-0.02,-0.35,0.0,-0.06,0.0,166.18,156.0,0.0
1775673582524479431,6091,,-0.01,-0.04,-0.37,0.12,0.06,0.0,0.0,0.06,11980.65,186.0,0.0,0.0,0.0,0.0,,,
1775673582535403779,60044,9.1,2.4,10.872,-0.7,-0.02,-0.18,-8.81,0.19,-2.13,-0.01,-0.04,-0.37,0.12,0.06,0.0,11954.41,188.0,8.76
1775673582553155907,60167,10.804,92.8,10.7,-179.8,3.4,-1.45,-8.75,0.56,-2.13,2.59,-0.99,-0.45,1.44,-20.87,-5.94,11860.08,186.0,52.13
