timestamp_ns,fix_time,fix_date,gga_fix_quality,avg_snr,latitude,longitude,altitude_m,speed_over_ground,true_course,num_of_fix_satellites,hdop,vdop,pdop,geoid_separation
1774643807499070140,20:36:12,2026-03-27,DGPS,33.03125,35.768365933333335,-78.67326628333333,109.781,0.006,329.33,35,0.68,1.16,1.34,-33.026
1774643807505881593,20:36:13,2026-03-27,DGPS,31.451612,35.768366,-78.67326646666666,109.785,0.005,329.33,35,0.68,1.16,1.34,-33.026
1774643807512899003,20:36:14,2026-03-27,DGPS,32.41379,35.76836601666667,-78.67326663333333,109.79,0.009,329.33,35,0.65,1.16,1.33,-33.026
1774643807542347328,20:36:15,2026-03-27,DGPS,29.4,35.76836595,-78.67326688333333,109.794,0.025,329.33,35,0.69,1.16,1.35,-33.026
1774643807549026064,20:36:16,2026-03-27,DGPS,28.266666,35.76836585,-78.67326703333333,109.789,0.036,329.33,35,0.68,1.16,1.34,-33.026
1774643807557897865,20:36:17,2026-03-27,DGPS,28.933332,35.76836578333333,-78.67326716666666,109.788,0.008,329.33,35,0.69,1.17,1.36,-33.026
1774643807637478435,20:36:18,2026-03-27,DGPS,29.3,35.768365683333336,-78.67326735,109.795,0.021,329.33,35,0.73,1.16,1.37,-33.026
1774643807645699005,20:36:19,2026-03-27,DGPS,30.133333,35.768365616666664,-78.6732674,109.796,0.021,329.33,35,0.77,1.16,1.39,-33.026
1774643807654854226,20:36:20,2026-03-27,DGPS,29.448277,35.768365583333335,-78.67326728333333,109.793,0.048,329.33,35,0.71,1.16,1.36,-33.026
1774643807658393003,20:36:21,2026-03-27,DGPS,27.933332,35.768365616666664,-78.67326723333333,109.803,0.015,329.33,35,0.7,1.19,1.38,-33.026
1774643807749570937,20:36:22,2026-03-27,DGPS,28.366667,35.7683656,-78.6732673,109.807,0.005,329.33,35,0.76,1.19,1.41,-33.026
1774643807756143036,20:36:23,2026-03-27,DGPS,28.833334,35.76836555,-78.67326733333333,109.807,0.018,329.33,35,0.86,1.42,1.67,-33.026
1774643807764235038,20:36:24,2026-03-27,DGPS,27.866667,35.7683655,-78.67326731666667,109.808,0.017,329.33,35,0.91,1.46,1.73,-33.026
1774643807843135018,20:36:25,2026-03-27,DGPS,30.266666,35.76836548333333,-78.67326718333334,109.809,0.026,329.33,35,0.86,1.42,1.67,-33.026
1774643807847257139,20:36:26,2026-03-27,DGPS,28.172413,35.76836548333333,-78.6732672,109.813,0.007,329.33,35,0.78,1.19,1.42,-33.026
1774643807856417788,20:36:27,2026-03-27,DGPS,28.928572,35.768365466666665,-78.67326725,109.815,0.005,329.33,35,0.89,1.46,1.72,-33.026
1774643807864188842,20:36:28,2026-03-27,DGPS,28.964285,35.76836548333333,-78.6732674,109.815,0.011,329.33,35,0.91,1.46,1.72,-33.026
1774643807868369904,20:36:29,2026-03-27,DGPS,29.75,35.76836548333333,-78.6732675,109.818,0.005,329.33,35,0.86,1.42,1.67,-33.027
1774643807945449779,20:36:30,2026-03-27,DGPS,28.107143,35.76836545,-78.67326771666667,109.815,0.001,329.33,35,0.7,1.18,1.38,-33.026
1774643807949299094,20:36:31,2026-03-27,DGPS,26.137932,35.76836535,-78.67326786666666,109.811,0.023,329.33,35,0.7,1.18,1.38,-33.026
1774643807998689735,20:36:32,2026-03-27,DGPS,26.655172,35.76836526666666,-78.67326788333334,109.808,0.01,329.33,35,0.89,1.46,1.71,-33.027
1774643808002498373,20:36:33,2026-03-27,DGPS,23.448277,35.76836545,-78.67326823333333,109.843,0.02,329.33,35,0.89,1.36,1.62,-33.027
1774643808041056043,20:36:34,2026-03-27,DGPS,25.0,35.768365366666664,-78.67326761666666,109.844,0.071,329.33,35,0.9,1.74,1.96,-33.027
1774643808048694938,20:36:35,2026-03-27,DGPS,27.03125,35.76836528333333,-78.67326745,109.843,0.021,329.33,34,0.74,1.25,1.45,-33.027
1774643808056518858,20:36:36,2026-03-27,DGPS,29.5,35.76836518333333,-78.67326725,109.847,0.015,329.33,34,0.83,1.4,1.62,-33.026
1774643808141956407,20:36:37,2026-03-27,DGPS,28.785715,35.76836515,-78.67326716666666,109.854,0.023,329.33,35,0.96,1.78,2.02,-33.026
1774643808149582206,20:36:38,2026-03-27,DGPS,28.806452,35.76836513333333,-78.67326696666666,109.859,0.029,329.33,35,0.88,1.69,1.91,-33.026
1774643808158980320,20:36:39,2026-03-27,DGPS,29.633333,35.768365083333336,-78.67326668333334,109.864,0.019,329.33,34,0.73,1.45,1.62,-33.026
