timestamp_ns,time_ms,voltage_left,current_left_ma,voltage_right,current_right_ma,motor_current_left,motor_current_right,euler_x,euler_y,euler_z,acc_lin_x,acc_lin_y,acc_lin_z,sonar_mm,tof_mm,rpm_left,rpm_right,rotations_left,rotations_right
1771348905344071932,30373,,12.06,13.25,0.04,0.01,0.0,245.42,263.0,0.0,20.0,,245.07,264.0,0.0,20.0,16.0,,
1771348905835211712,44774,9.248,2.1,10.872,-0.9,-0.08,-0.2,-0.19,12.06,13.25,0.04,0.01,0.0,245.42,263.0,0.0,20.0,,
1771348906687072629,5869,9.224,2.2,10.844,-22.6,0.9,-0.1,-0.06,12.31,13.06,0.54,0.06,-0.2,241.99,264.0,106.88,0.0,0.0,0.0
1771348906789442106,6726,9.024,74.8,10.8,-51.5,0.51,0.29,-0.12,12.19,13.06,-0.23,-0.03,-0.01,150.06,262.0,117.85,75.84,0.0,0.0
1771348906887701644,6827,10.8,25.6,9.632,0.3,0.37,1.02,-0.12,12.25,13.06,0.34,0.13,-0.11,238.56,264.0,82.55,71.82,0.0,0.0
1771348906990071455,6927,9.192,52.0,9.48,-28.5,0.45,1.05,-0.12,12.19,13.06,-0.75,0.08,-0.13,237.36,265.0,50.69,59.29,0.0,0.0
1771348907088400643,7027,9.384,78.7,10.804,-41.1,0.61,0.98,-0.12,12.19,13.06,-0.19,0.02,0.07,242.16,265.0,59.64,55.26,2.0,0.0
1771348907190804436,7127,10.76,73.8,10.788,-65.8,1.25,0.96,-0.12,12.25,13.06,0.95,-0.49,-2.18,241.3,264.0,77.79,56.14,2.0,0.0
1771348907289129735,7227,9.312,74.6,9.764,-66.0,0.64,0.8,-0.12,12.13,13.06,-0.78,-0.15,0.59,237.01,264.0,83.36,57.26,2.0,0.0
1771348907391488472,7327,10.628,56.5,10.292,-48.8,0.88,0.63,-0.12,12.19,13.06,0.23,-0.13,-0.4,238.56,264.0,71.8,57.61,2.0,0.0
1771348907489778622,7428,10.836,64.0,10.8,-62.3,0.33,0.86,-0.12,12.19,13.06,0.67,0.07,-0.11,232.9,263.0,66.73,60.37,2.0,0.0
1771348907592188341,7528,9.06,77.6,10.812,-61.8,0.47,1.02,-0.12,12.13,13.06,-0.4,-0.1,-0.01,146.63,264.0,71.57,59.79,2.0,0.0
1771348907690500047,7628,9.072,50.0,10.796,-48.8,0.84,0.25,-0.12,12.13,13.06,0.19,0.12,-0.25,234.27,264.0,76.23,62.05,2.0,0.0
