timestamp_ns,time_ms,voltage_left,current_left_a,voltage_right,current_right_a,motor_current_left,motor_current_right,euler_x,euler_y,euler_z,acc_lin_x,acc_lin_y,acc_lin_z,sonar_mm,tof_mm,rpm_left,rpm_right,rotations_left,rotations_right
1764880932719515090,1758,9.592,5.0,11.256,0.2,-0.02,0.0,0.0,2.06,19.19,-0.01,0.06,-0.13,11987.85,178.0,0.0,0.0,0.0,
1764880932830102905,1874,9.588,4.8,11.256,0.2,-0.04,-0.08,0.0,2.06,19.19,-0.03,0.0,-0.05,11990.94,178.0,0.0,0.0,0.0,
1764880932948877849,1986,9.548,3.9,10.904,0.0,0.12,0.08,0.0,2.06,19.19,0.0,0.01,-0.01,11991.45,179.0,0.0,0.0,0.0,
1764880933071758127,2106,9.632,4.5,11.268,0.1,-0.06,-0.04,0.0,2.06,19.19,-0.01,-0.01,-0.03,11989.05,178.0,0.0,0.0,0.0,
1764880933190536867,2228,9.716,3.9,11.26,0.2,-0.02,-0.08,0.0,2.06,19.19,-0.01,0.01,-0.05,11988.19,178.0,0.0,0.0,0.0,
1764880933301130460,2345,9.624,4.5,11.256,0.1,-0.1,-0.02,0.0,2.06,19.19,0.0,0.01,-0.04,11990.42,178.0,0.0,0.0,0.0,
1764880933419907164,2457,9.636,4.1,11.26,0.1,0.02,-0.12,0.0,2.06,19.19,0.0,0.01,-0.02,11990.77,179.0,0.0,0.0,0.0,
1764880933538693349,2575,9.62,4.2,9.968,1.3,0.08,-0.12,0.0,2.06,19.19,0.0,0.02,-0.02,11989.74,178.0,0.0,0.0,0.0,
1764880933661571682,2695,9.652,4.1,10.036,0.9,-0.08,-0.04,0.0,2.06,19.19,0.0,0.0,-0.01,11990.08,179.0,0.0,0.0,0.0,
1764880933776244275,2818,9.64,4.2,11.276,0.2,0.0,-0.14,0.0,2.06,19.19,0.02,0.0,-0.01,11990.08,179.0,0.0,0.0,0.0,
1764880933890940163,2931,9.724,4.0,11.26,0.2,-0.04,0.1,0.0,2.06,19.19,0.01,0.03,-0.07,11989.91,179.0,0.0,0.0,0.0,
1764880934013835626,3049,9.632,4.2,11.252,0.0,0.02,-0.12,0.0,2.06,19.19,0.02,0.01,-0.04,11988.02,179.0,0.0,0.0,0.0,
1764880934132600534,3169,9.716,4.0,11.26,0.3,0.04,-0.08,0.0,2.06,19.19,0.02,0.0,0.0,11988.54,178.0,0.0,0.0,0.0,
1764880934247277978,3289,9.728,3.9,11.26,0.1,-0.06,-0.08,0.0,2.06,19.19,0.0,0.02,-0.03,11989.56,178.0,0.0,0.0,0.0,
1764880934366059811,3405,9.72,4.2,11.256,0.0,0.04,-0.04,0.0,2.06,19.19,-0.01,0.0,0.0,11990.25,178.0,0.0,0.0,0.0,
1764880934484900441,3523,9.644,4.2,10.584,0.0,-0.16,-0.02,0.0,2.06,19.19,-0.01,0.0,-0.01,11989.74,179.0,0.0,0.0,0.0,
1764880934607717774,3641,9.6,4.7,11.272,0.2,-0.04,-0.12,0.0,2.06,19.19,0.0,0.02,-0.04,11989.22,179.0,0.0,0.0,0.0,
1764880934722415255,3766,9.516,5.0,11.264,0.2,0.02,0.04,0.0,2.06,19.19,-0.03,0.01,-0.02,11988.88,179.0,0.0,0.0,0.0,
1764880934841185385,3881,9.484,4.8,11.26,0.1,0.08,0.0,0.0,2.06,19.19,0.0,0.01,-0.01,11989.05,179.0,0.0,0.0,0.0,
1764880934959967996,3999,9.488,4.7,11.26,0.0,0.02,-0.08,0.0,2.06,19.19,0.0,-0.01,-0.01,11988.54,179.0,0.0,0.0,0.0,
1764880935078744996,4118,9.492,4.8,10.032,0.9,0.08,-0.14,0.0,2.06,19.19,0.0,0.0,-0.04,11990.25,178.0,0.0,0.0,0.0,
1764880935193425848,4237,9.724,3.9,11.28,-0.1,0.0,0.06,0.0,2.06,19.19,-0.01,0.01,0.01,11992.48,178.0,0.0,0.0,0.0,
1764880935316309014,4349,9.52,4.6,11.26,0.0,0.04,-0.08,0.0,2.06,19.19,-0.01,0.03,-0.04,11994.54,180.0,0.0,0.0,0.0,
1764880935435092459,4472,9.488,5.0,10.032,0.8,-0.23,-0.04,0.0,2.06,19.19,0.0,0.0,-0.01,11991.62,179.0,0.0,0.0,0.0,
1764880935553871422,4591,11.28,3.8,10.04,0.8,-0.06,-0.14,0.0,2.06,19.19,0.0,0.0,-0.04,11991.79,179.0,0.0,0.0,0.0,
1764880935664463347,4712,9.624,4.2,11.256,0.1,-0.04,-0.23,0.0,2.06,19.19,0.0,0.02,-0.07,11989.39,179.0,0.0,0.0,0.0,
1764880935783237607,4825,9.724,4.2,11.26,0.3,0.08,0.02,0.0,2.06,19.19,0.0,-0.01,-0.03,11991.28,178.0,0.0,0.0,0.0,
1764880935906122718,4942,10.04,4.2,9.944,1.1,0.0,-0.1,0.0,2.06,19.19,-0.01,0.02,-0.05,11991.79,179.0,0.0,0.0,0.0,
1764880936020804458,5063,9.488,5.0,11.264,0.1,-0.04,-0.06,0.0,2.06,19.19,0.02,0.02,-0.05,11991.97,178.0,0.0,0.0,0.0,
1764880936135498421,5181,9.572,4.9,11.26,0.1,-0.12,0.02,0.0,2.06,19.19,0.01,0.02,-0.06,11993.68,178.0,0.0,0.0,0.0,
1764880936254279180,5294,9.556,4.9,11.252,0.1,-0.1,-0.16,0.0,2.06,19.19,0.0,0.01,-0.01,11993.85,179.0,0.0,0.0,0.0,
