timestamp_ns,fix_time,fix_date,gga_fix_quality,avg_snr,latitude,longitude,altitude_m,speed_over_ground,true_course,num_of_fix_satellites,hdop,vdop,pdop,geoid_separation
1771348428848999516,00:52:18.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771348428852425920,00:52:19.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771348428854762628,00:52:20.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771348429552246020,00:52:21.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771348429553421421,00:52:22.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771348429554751471,00:52:23.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771348429555709388,00:52:24.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771348430354405243,00:52:25.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771348431353460708,00:52:26.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771348432351938864,00:52:27.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771348433357053191,00:52:28.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771348434356779458,00:52:29.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771348435354264029,00:52:30.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771348436359407875,00:52:31.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771348437363031402,00:52:32.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771348438362417971,00:52:33.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771348439366075522,00:52:34.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771348440360758770,00:52:35.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771348441360092910,00:52:36.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771348442364389038,00:52:37.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771348443367514369,00:52:38.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771348444371550146,00:52:39.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771348445369349869,00:52:40.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
