timestamp_ns,fix_time,fix_date,gga_fix_quality,avg_snr,latitude,longitude,altitude_m,speed_over_ground,true_course,num_of_fix_satellites,hdop,vdop,pdop,geoid_separation
1774905168357423875,02:29:56.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774905168360019998,02:29:57.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774905168361148457,02:29:58.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774905168365784502,02:29:59.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774905168368082811,02:30:00.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774905168372640944,02:30:01.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774905168374949476,02:30:02.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774905168377974163,02:30:03.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774905168380220098,02:30:04.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774905168384724432,02:30:05.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774905168447935614,02:30:06.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774905168449459894,02:30:07.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774905168452049239,02:30:08.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774905168452954554,02:30:09.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774905168648533506,02:30:10.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774905169647735926,02:30:11.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774905170647698894,02:30:12.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774905171651159243,02:30:13.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774905172650222934,02:30:14.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774905173654084863,02:30:15.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774905174658331964,02:30:16.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
