timestamp_ns,fix_time,fix_date,gga_fix_quality,avg_snr,latitude,longitude,altitude_m,speed_over_ground,true_course,num_of_fix_satellites,hdop,vdop,pdop,geoid_separation
1772418689007730198,02:31:20.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418689010120922,02:31:21.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418689012454591,02:31:22.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418689017162021,02:31:23.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418689019652280,02:31:24.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418689023043823,02:31:25.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418689025388621,02:31:26.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418689028369947,02:31:27.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418689212258774,02:31:28.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418690210968808,02:31:29.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418691210033625,02:31:30.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418692147454773,02:31:31.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418693150836474,02:31:32.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418694208030928,02:31:33.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418695212199270,02:31:34.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418696218468870,02:31:35.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418697148293331,02:31:36.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418698180359591,02:31:37.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418699147515744,02:31:38.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418700159761337,02:31:39.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418701171127935,02:31:40.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418702178656676,02:31:41.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418703173042194,02:31:42.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418704194082036,02:31:43.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418705164812016,02:31:44.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418706208660212,02:31:45.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418707175541844,02:31:46.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418708146007637,02:31:47.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418709203482187,02:31:48.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418710185775310,02:31:49.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418711186385176,02:31:50.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418712196138308,02:31:51.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418713146494503,02:31:52.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418714175563838,02:31:53.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418715167047843,02:31:54.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418716175867180,02:31:55.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
1772418717214492372,02:31:56.105,2026-03-02,Invalid,,,,,,,0,99.99,99.99,99.99,
