timestamp_ns,pos_x,pos_y,vel_n,vel_e,last_gps_pos_x,last_gps_pos_y,distance_traveled,relative_distance,yaw_imu_deg,q_pos,q_vel,q_ori,r_fixed,r_float,error_percent
1776370195806559954,-0.0018901800995809823,-0.000042161038993037964,0.002273611678811722,-0.0008197905670085413,-0.004515996954594188,0.0,0.05377814915278542,0.05377814915278542,359.64530664708207,0.01,0.1,0.001,0.0001,0.25,0.0
1776370195914429548,-0.0015522445637801215,-0.0001258941449588529,0.003991158901724358,-0.0007324838856570881,-0.004515996954594188,0.0,0.22574777329546966,0.2257195487635139,359.2721115648143,0.01,0.1,0.001,0.0001,0.25,0.0
1776370196006777589,-0.0010848091421521715,-0.00018620258086393123,0.006131706603003448,-0.0005735664417687205,-0.004515996954594188,0.0,0.4669961311388813,0.46696337095149165,359.2721115648143,0.01,0.1,0.001,0.0001,0.25,0.0
1776370196109063274,-0.00035405550195481824,-0.0002709078788762768,0.008156533286762734,-0.0010826546857889434,-0.004515996954594188,0.0,0.8353468156808077,0.8353121426709774,358.9228190630421,0.01,0.1,0.001,0.0001,0.25,0.0
1776370196208166584,0.0005267458216361108,-0.0003921273671711055,0.009620099372610836,-0.0013638383619158693,-0.004515996954594188,0.0,1.293626926482062,1.293591438714142,358.91593985189365,0.01,0.1,0.001,0.0001,0.25,0.0
1776370196309822757,0.001676852952280851,-0.0006356977769069672,0.013005781627024331,-0.0034278849122686586,-0.004515996954594188,0.0,1.293626926482062,1.8673776718265156,358.918428996559,0.01,0.1,0.001,0.0001,0.25,0.0
1776370196408482966,-0.00022778240675130792,-0.0005233220035612693,0.011330600950111291,-0.002756481898722927,-0.003010663780713719,0.0,1.293626926482062,1.1329894314710671,359.25979771998095,0.01,0.1,0.001,0.0001,0.25,0.0
1776370196510297994,0.001099808627565382,-0.0008058228051497705,0.014745232003012837,-0.0027922477333184067,-0.003010663780713719,0.0,1.293626926482062,1.7550689308536611,359.25979771998095,0.01,0.1,0.001,0.0001,0.25,0.0
1776370196608481380,0.002684379085307717,-0.001073434127403999,0.017531882184679718,-0.0026588959278009477,-0.003010663780713719,0.0,1.293626926482062,2.4547356716809654,359.9350100372319,0.01,0.1,0.001,0.0001,0.25,0.0
1776370196711365724,0.004621972280524907,-0.0013746153190907944,0.02013725507069329,-0.003196427922629369,-0.003010663780713719,0.0,1.293626926482062,3.2930749969445503,359.58364826307235,0.01,0.1,0.001,0.0001,0.25,0.0
1776370196809677964,0.0066302102070816766,-0.0017399935636753534,0.020713647474868105,-0.004235973818425085,-0.003010663780713719,0.0,1.293626926482062,4.194946291623133,0.2609613993818178,0.01,0.1,0.001,0.0001,0.25,0.0
1776370196912362786,0.008874210299909941,-0.002184088309442729,0.022998066591555316,-0.00441471323253582,-0.003010663780713719,0.0,1.293626926482062,5.241731924425588,0.9644455547382361,0.01,0.1,0.001,0.0001,0.25,0.0
1776370197010268722,0.011258375287875391,-0.0026289171139662385,0.02570176521089562,-0.004671523697596532,-0.003010663780713719,0.0,1.293626926482062,6.33990837885481,0.9661628881278554,0.01,0.1,0.001,0.0001,0.25,0.0
1776370197118307749,0.014033285352834636,-0.0031501770696755454,0.025667643969071723,-0.0049780920835031375,-0.003010663780713719,0.0,1.293626926482062,7.6647436982514145,1.3345938262123738,0.01,0.1,0.001,0.0001,0.25,0.0
1776370197211018063,0.016507418620254052,-0.0036133027447807727,0.027699838991018164,-0.005011608916046338,-0.003010663780713719,0.0,1.293626926482062,8.896360095214984,1.3345938262123738,0.01,0.1,0.001,0.0001,0.25,0.0
1776370197313225184,0.019346430317927293,-0.004129614334920958,0.027856392840664376,-0.005092022013942965,-0.003010663780713719,0.0,1.293626926482062,10.355185989622823,1.6867955325623627,0.01,0.1,0.001,0.0001,0.25,0.0
1776370197411259061,0.022069541367259256,-0.004643856654027948,0.027703282863449055,-0.005400071758701621,-0.003010663780713719,0.0,1.293626926482062,11.854206736873723,2.36076479384185,0.01,0.1,0.001,0.0001,0.25,0.0
1776370197509610017,0.020504366363204213,-0.008928092612815467,0.07616773992749515,-0.017843127796746076,0.0,-0.005565975000194477,1.293626926482062,2.8428401307261386,2.558101175280814,0.01,0.1,0.001,0.0001,0.25,0.0
1776370197612531800,0.028789915795827306,-0.010757893736377769,0.08484408011421268,-0.017715118716044993,0.0,-0.005565975000194477,1.293626926482062,3.962331078167641,2.548049397590699,0.01,0.1,0.001,0.0001,0.25,0.0
1776370197714707439,0.037860499734907155,-0.012592679634907638,0.09271706971851425,-0.018201719276734276,0.0,-0.005565975000194477,1.293626926482062,5.1801458313581135,2.884241174320169,0.01,0.1,0.001,0.0001,0.25,0.0
1776370197812995543,0.04731415799114423,-0.014405179417515082,0.09963260868052831,-0.018676464896346476,0.0,-0.005565975000194477,1.293626926482062,6.451866545609368,3.215705438501026,0.01,0.1,0.001,0.0001,0.25,0.0
1776370197915215831,0.05772852934971627,-0.0163386878796818,0.10411569742757178,-0.01915098147062872,0.0,-0.005565975000194477,1.293626926482062,7.878455467792842,2.8537882655293245,0.01,0.1,0.001,0.0001,0.25,0.0
1776370198014197466,0.06831946292746012,-0.018251512677777075,0.10990700128087463,-0.019503583062293234,0.0,-0.005565975000194477,1.293626926482062,9.360565605901108,2.5243866028212785,0.01,0.1,0.001,0.0001,0.25,0.0
1776370198116186022,0.07991938271582985,-0.02029206174097633,0.11755979416366975,-0.02051024158662142,0.0,-0.005565975000194477,1.293626926482062,10.991798990624856,2.181695161727063,0.01,0.1,0.001,0.0001,0.25,0.0
1776370198214479934,0.09182731314784252,-0.022300257843103487,0.1247313910820186,-0.020350612998327695,0.0,-0.005565975000194477,1.293626926482062,12.663763507092117,2.5276286981613545,0.01,0.1,0.001,0.0001,0.25,0.0
1776370198316528472,0.10497809617157955,-0.024304433309851638,0.1330452908640869,-0.018934477549027145,0.0,-0.005565975000194477,1.293626926482062,14.503238948882263,2.170832661127771,0.01,0.1,0.001,0.0001,0.25,0.0
1776370198414597028,0.12842413816774975,-0.025420003709936707,0.33296175236705466,-0.04525500803807268,0.003010665064237328,-0.005565975000194477,1.293626926482062,5.411163929844998,3.2247380017274443,0.01,0.1,0.001,0.0001,0.25,0.0
1776370198518838608,0.16452202052218692,-0.03018152723154849,0.35961902154751785,-0.046100479611605745,0.003010665064237328,-0.005565975000194477,1.293626926482062,6.923697363592058,3.865745690360671,0.01,0.1,0.001,0.0001,0.25,0.0
1776370198616057074,0.20045219323048996,-0.03473098936460427,0.37952747958424293,-0.04748991431662963,0.003010665064237328,-0.005565975000194477,1.293626926482062,8.43302901816079,3.9033614614696552,0.01,0.1,0.001,0.0001,0.25,0.0
1776370198718621177,0.24049024511733402,-0.03967353270946708,0.4012208699339437,-0.048890463275910324,0.003010665064237328,-0.005565975000194477,1.293626926482062,10.128487715363947,4.2664543637809516,0.01,0.1,0.001,0.0001,0.25,0.0
1776370198816432377,0.2809342399350825,-0.044490513674810175,0.42571458318506156,-0.04959961801283441,0.003010665064237328,-0.005565975000194477,1.293626926482062,11.844305212924485,5.187379233573423,0.01,0.1,0.001,0.0001,0.25,0.0
1776370198914876181,0.32380991551907096,-0.049894757243051646,0.44530859378201654,-0.060188072508628884,0.003010665064237328,-0.005565975000194477,1.293626926482062,13.66796481508755,5.4613153075998335,0.01,0.1,0.001,0.0001,0.25,0.0
1776370199017214057,0.37085807901149215,-0.056779601968189736,0.4743270832088252,-0.07438782524770168,0.003010665064237328,-0.005565975000194477,1.293626926482062,15.666117825045342,4.818042556872593,0.01,0.1,0.001,0.0001,0.25,0.0
1776370199115569983,0.41905164931133077,-0.06392816654768718,0.5055578174085134,-0.07095875208526971,0.003010665064237328,-0.005565975000194477,1.293626926482062,17.686566092039698,4.420857538676224,0.01,0.1,0.001,0.0001,0.25,0.0
