timestamp_ns,time_ms,voltage_left,current_left_ma,voltage_right,current_right_ma,motor_current_left,motor_current_right,euler_x,euler_y,euler_z,acc_lin_x,acc_lin_y,acc_lin_z,sonar_mm,tof_mm,rpm_left,rpm_right,rotations_left,rotations_right
1771008075510715160,126437,0.0,0.0,22.0,20.0,,,,,,,,,,,,,,
1771008075515560763,126337,9.308,2.9,10.952,-0.9,-0.16,-0.08,-5.63,15.63,12.06,-0.09,0.06,-0.03,245.07,200.0,0.0,22.0,20.0,
1771008075521139759,126437,0.0,0.0,22.0,20.0,,,,,,,,,,,,,,
1771008075527545393,126337,9.308,2.9,10.952,-0.9,-0.16,-0.08,-5.63,15.63,12.06,-0.09,0.06,-0.03,245.07,200.0,0.0,22.0,20.0,
1771008075574884623,126437,0.0,0.0,22.0,20.0,,,,,,,,,,,,,,
1771008075585485732,126337,9.308,2.9,10.952,-0.9,-0.16,-0.08,-5.63,15.63,12.06,-0.09,0.06,-0.03,245.07,200.0,0.0,22.0,20.0,
1771008075607640873,126437,,,,,,,,,,,,,,,,,,
1771008075618585353,4139,9.308,1.5,10.96,-1.0,-0.08,-0.12,-0.25,15.56,12.19,-0.02,0.01,-0.08,180.93,186.0,0.0,0.0,0.0,
1771008075629668211,4977,9.316,2.7,10.944,-0.8,-0.14,-0.06,-0.25,15.63,12.31,0.06,0.2,1.45,176.82,189.0,0.0,0.0,0.0,
1771008075710040206,5078,9.304,2.4,10.956,-0.7,-0.14,-0.1,-0.19,15.81,12.38,-0.05,0.23,-0.16,176.82,181.0,0.0,0.0,0.0,
1771008075721218847,5178,9.304,2.6,10.464,0.1,-0.16,-0.12,-0.19,15.81,12.38,-0.01,0.03,0.1,176.82,187.0,0.0,0.0,0.0,
1771008075732251498,5277,10.96,1.6,9.764,-0.1,-0.08,-0.12,-0.25,15.88,12.44,0.04,-0.31,0.32,172.7,187.0,0.0,0.0,0.0,
1771008075743445974,5378,10.96,2.3,10.948,-1.0,-0.12,-0.08,-0.37,15.88,12.56,0.17,-0.22,-0.06,177.5,186.0,0.0,0.0,0.0,
1771008075808351663,5477,10.972,1.7,9.716,0.3,-0.16,-0.04,-0.75,14.81,12.44,0.22,1.19,1.53,180.42,187.0,0.0,0.0,0.0,
1771008075819351442,5577,10.956,2.0,10.964,-0.7,0.0,-0.12,-1.88,12.19,12.69,-3.38,0.38,0.94,205.63,187.0,0.0,0.0,0.0,
1771008075830576289,5678,9.348,2.7,10.952,-0.9,0.06,-0.02,-1.81,12.56,12.31,0.81,0.12,-1.04,233.07,201.0,0.0,0.0,0.0,
1771008075898482405,5778,9.3,2.7,10.948,-0.8,-0.04,-0.02,-0.56,10.94,11.81,-0.48,-0.22,-0.77,245.59,222.0,0.0,0.0,0.0,
1771008075909634378,5878,9.348,2.7,10.944,-0.7,-0.16,0.02,1.81,11.0,11.19,1.03,-0.48,-1.14,224.66,222.0,0.0,0.0,0.0,
1771008075931243692,5978,9.356,2.8,9.764,-0.3,-0.02,-0.08,2.88,10.75,10.56,-0.07,0.04,-0.55,219.35,228.0,0.0,0.0,0.0,
1771008075942384294,6078,10.96,1.8,9.792,-0.2,-0.02,0.04,2.69,10.88,10.25,-0.66,0.26,-0.53,11976.53,219.0,0.0,0.0,0.0,
1771008075953648996,6197,9.396,2.1,10.948,-0.9,-0.1,-0.14,4.63,12.38,10.63,-0.88,1.76,3.77,202.71,219.0,0.0,0.0,0.0,
