timestamp_ns,pos_x,pos_y,vel_n,vel_e,last_gps_pos_x,last_gps_pos_y,distance_traveled,relative_distance,yaw_imu_deg,euler_x,q_pos,q_vel,q_ori,r_fixed,r_float,error_percent
1776451737029576127,-0.004189685936378864,0.006195539252295301,-0.035350493219956626,0.00022643015085047882,-0.06623464135387157,0.16697923576832832,0.0480861879056795,0.0480861879056795,359.66125209541667,0.05999999865889549,0.01,0.1,0.001,0.0001,0.25,0.0
1776451737132092090,-0.009751887162344628,0.006231413561724148,-0.07313040247228311,0.0004732347949293669,-0.06623464135387157,0.16697923576832832,0.19914322053074995,0.19879271419475225,359.66125209541667,0.05999999865889549,0.01,0.1,0.001,0.0001,0.25,0.0
1776451737230422645,-0.023774680739834103,0.016270421164236576,-0.1088240233131463,0.0037738105583360088,-0.14451194442203144,0.26716677786210336,0.4341909421833069,0.4338273721422253,359.32112547139525,0.05999999865889549,0.01,0.1,0.001,0.0001,0.25,0.0
1776451737328720145,-0.03632858647799632,0.01679370253171891,-0.14660995081543854,0.006873381006686864,-0.14451194442203144,0.26716677786210336,0.771092685784836,0.770577165274348,359.32112547139525,0.05999999865889549,0.01,0.1,0.001,0.0001,0.25,0.0
1776451737431664145,-0.05333953829615799,0.0176227852274688,-0.1839551178343173,0.009237756169322386,-0.14451194442203144,0.26716677786210336,1.2256929086565194,1.2251067930409376,359.67727097189123,0.05999999865889549,0.01,0.1,0.001,0.0001,0.25,0.0
1776451737529972330,-0.07311858377039675,0.018604708149852843,-0.2184420250210855,0.010739091499398279,-0.14451194442203144,0.26716677786210336,1.2256929086565194,1.756794516747509,359.3404124073307,0.05999999865889549,0.01,0.1,0.001,0.0001,0.25,0.0
1776451737628639830,-0.09640694388824217,0.01973266226811163,-0.25369084089777666,0.01212830696849243,-0.14451194442203144,0.26716677786210336,1.2256929086565194,2.3862111605154217,359.3471194819618,0.05999999865889549,0.01,0.1,0.001,0.0001,0.25,0.0
1776451737730654830,-0.12415703673567145,0.02108786157518609,-0.2902547187709704,0.01443573552326459,-0.14451194442203144,0.26716677786210336,1.2256929086565194,3.1381321515532368,359.34931185843584,0.05999999865889549,0.01,0.1,0.001,0.0001,0.25,0.0
1776451737829211830,-0.15442060068123015,0.022532185746554977,-0.32384746000945824,0.01487220131122169,-0.14451194442203144,0.26716677786210336,1.2256929086565194,3.9619585220239264,359.6884499427332,0.05999999865889549,0.01,0.1,0.001,0.0001,0.25,0.0
1776451737930865293,-0.18912718925889643,0.024190759955737155,-0.3589940394809187,0.017759738226126472,-0.14451194442203144,0.26716677786210336,1.2256929086565194,4.912093771986451,359.68571767852694,0.05999999865889549,0.01,0.1,0.001,0.0001,0.25,0.0
1776451738029722737,-0.22639089988456274,0.025984546042801895,-0.39489234492191,0.018530552914066533,-0.14451194442203144,0.26716677786210336,1.2256929086565194,5.9340040084452745,0.753769244663477,0.05999999865889549,0.01,0.1,0.001,0.0001,0.25,0.0
1776451738132354645,-0.2687101997739765,0.028018896244992052,-0.42978449682637243,0.021112860472642967,-0.14451194442203144,0.26716677786210336,1.2256929086565194,7.0970922091867354,0.4027384767535968,0.05999999865889549,0.01,0.1,0.001,0.0001,0.25,0.0
1776451738231338478,-0.3130308804078799,0.030219880021113643,-0.4657633727688559,0.0233604261178963,-0.14451194442203144,0.26716677786210336,1.2256929086565194,8.317348777994344,1.085167957092865,0.05999999865889549,0.01,0.1,0.001,0.0001,0.25,0.0
