timestamp_ns,time_ms,voltage_left,current_left_ma,voltage_right,current_right_ma,motor_current_left,motor_current_right,euler_x,euler_y,euler_z,acc_lin_x,acc_lin_y,acc_lin_z,sonar_mm,tof_mm,rpm_left,rpm_right,rotations_left,rotations_right
1774905820705779853,5582,,13979.0,9.084,2.4,10.772,-1.0,0.14,-0.18,0.0,3.13,3.81,0.0,0.03,-0.37,259.31,282.0,0.0,0.0
1774905820712553707,14078,9.084,2.5,10.776,,,,,,,,,,,,,,,
1774905820719508063,13979,9.084,2.4,10.772,-1.0,0.14,-0.18,0.0,3.13,3.81,0.0,0.03,-0.37,259.31,282.0,0.0,0.0,0.0,
1774905820726246249,14078,9.084,2.5,10.776,-0.9,,,,,,,,,,,,,,
1774905820730041080,1880,9.072,2.7,10.768,-0.5,0.14,0.06,0.0,3.19,3.81,-0.03,0.04,-0.4,262.57,282.0,0.0,0.0,0.0,
1774905820734012080,1981,9.128,2.7,10.768,-0.8,0.06,-0.06,0.0,3.19,3.81,-0.02,0.03,-0.39,263.6,281.0,0.0,0.0,0.0,
1774905820738626533,2081,9.076,2.7,10.776,-0.9,-0.08,0.06,0.0,3.19,3.81,-0.03,0.02,-0.39,263.6,281.0,0.0,0.0,0.0,
1774905820744762544,2182,9.12,2.6,10.772,-0.9,0.04,-0.02,0.0,3.19,3.81,-0.01,0.01,-0.43,263.6,280.0,0.0,0.0,0.0,
1774905820818386718,2282,9.076,2.8,10.772,-0.7,0.04,0.06,0.0,3.19,3.81,-0.04,0.01,-0.42,258.28,280.0,0.0,0.0,0.0,
1774905820829394519,2381,9.124,2.5,10.768,-0.8,0.04,-0.08,0.0,3.19,3.81,-0.01,0.01,-0.38,258.28,282.0,0.0,0.0,0.0,
1774905820840766659,2481,9.072,2.5,10.768,-0.9,0.02,-0.04,0.0,3.19,3.81,-0.02,0.03,-0.38,262.57,281.0,0.0,0.0,0.0,
1774905820851812146,2582,9.132,2.6,10.78,-0.8,0.02,-0.04,0.0,3.19,3.81,-0.01,0.01,-0.4,259.48,281.0,0.0,0.0,0.0,
1774905820916677512,2682,9.084,2.6,10.772,-0.9,-0.12,0.02,0.0,3.19,3.81,-0.03,0.02,-0.39,259.48,281.0,0.0,0.0,0.0,
1774905820927686554,2782,9.076,2.6,10.78,-1.1,0.02,-0.04,0.0,3.19,3.81,-0.02,0.05,-0.42,258.28,281.0,0.0,0.0,0.0,
1774905820939019101,2882,9.124,2.6,10.776,-0.8,0.08,0.08,0.0,3.19,3.81,-0.04,0.02,-0.42,258.28,281.0,0.0,0.0,0.0,
1774905821019128272,2981,9.076,2.8,10.772,-0.9,-0.12,-0.08,0.0,3.19,3.81,-0.02,0.03,-0.4,258.45,282.0,0.0,0.0,0.0,
1774905821030720303,3081,9.108,2.8,10.776,-0.8,0.1,0.0,0.0,3.19,3.81,-0.03,0.02,-0.41,259.48,281.0,0.0,0.0,0.0,
1774905821041921459,3182,9.076,2.8,10.772,-0.7,-0.14,-0.02,0.0,3.19,3.81,-0.03,0.03,-0.41,258.28,281.0,0.0,0.0,0.0,
1774905821053484841,3281,9.072,2.7,10.772,-0.9,0.12,-0.08,0.0,3.19,3.81,-0.02,0.01,-0.4,258.28,282.0,0.0,0.0,0.0,
1774905821117374210,3382,9.124,2.4,10.78,-1.0,-0.04,0.02,0.0,3.19,3.81,-0.02,0.01,-0.38,258.28,282.0,0.0,0.0,0.0,
1774905821128906130,3482,9.068,2.3,10.768,-0.7,-0.08,-0.14,0.0,3.19,3.81,-0.01,0.02,-0.39,258.45,281.0,0.0,0.0,0.0,
1774905821140347048,3582,9.092,2.8,10.776,-0.9,-0.04,-0.16,0.0,3.19,3.81,-0.01,0.01,-0.4,258.28,283.0,0.0,0.0,0.0,
1774905821151769873,3682,9.132,2.5,10.768,-1.0,0.06,-0.06,0.0,3.19,3.81,-0.03,0.03,-0.4,259.31,283.0,0.0,0.0,0.0,
1774905821219802948,3783,9.072,2.7,10.776,-0.6,-0.1,0.04,0.0,3.19,3.81,-0.04,0.05,-0.39,258.28,281.0,0.0,0.0,0.0,
1774905821231128864,3883,9.08,2.4,10.772,-0.6,0.0,-0.1,0.0,3.19,3.81,-0.02,0.02,-0.38,258.28,282.0,0.0,0.0,0.0,
1774905821242328927,3983,10.756,1.8,10.772,-0.7,0.04,0.02,0.0,3.19,3.81,-0.02,0.03,-0.38,258.28,282.0,0.0,0.0,0.0,
1774905821253513490,4083,9.248,2.0,10.78,-1.0,0.16,-0.06,0.0,3.19,3.81,-0.02,0.02,-0.38,258.45,282.0,0.0,0.0,0.0,
1774905821318073238,4184,9.26,2.5,10.776,-0.9,0.04,0.0,0.0,3.19,3.81,-0.04,0.02,-0.39,259.31,280.0,0.0,0.0,0.0,
1774905821329285542,4285,9.224,2.0,10.776,-1.1,0.08,-0.02,0.0,3.19,3.81,-0.02,0.02,-0.37,259.48,280.0,0.0,0.0,0.0,
1774905821340618403,4385,9.244,2.1,10.768,-0.8,0.04,-0.06,0.0,3.19,3.81,-0.04,0.01,-0.4,258.28,282.0,0.0,0.0,0.0,
1774905821351786133,4485,9.224,2.2,10.772,-0.9,0.0,0.1,0.0,3.19,3.81,-0.02,0.01,-0.39,258.28,281.0,0.0,0.0,0.0,
1774905821420485365,4585,9.264,2.0,10.776,-0.9,0.0,-0.02,0.0,3.19,3.81,0.0,0.03,-0.37,259.48,281.0,0.0,0.0,0.0,
1774905821431639686,4686,9.236,1.9,10.776,-0.7,-0.1,-0.02,0.0,3.19,3.81,-0.03,0.03,-0.38,259.31,281.0,0.0,0.0,0.0,
1774905821443005455,4787,9.264,2.1,10.776,-0.9,0.0,0.04,0.0,3.19,3.81,-0.01,0.01,-0.38,259.31,281.0,0.0,0.0,0.0,
1774905821518805693,4887,9.224,2.0,10.784,-0.9,-0.02,-0.04,0.0,3.19,3.81,-0.01,0.01,-0.36,259.48,282.0,0.0,0.0,0.0,
1774905821530150128,4986,9.264,2.1,10.776,-0.8,0.12,0.06,0.0,3.19,3.81,-0.01,0.04,-0.38,259.48,281.0,0.0,0.0,0.0,
1774905821541378136,5086,9.232,1.9,10.784,-1.0,0.02,-0.06,0.0,3.19,3.81,-0.02,0.02,-0.37,259.31,281.0,0.0,0.0,0.0,
1774905821552541236,5186,9.272,2.1,10.772,-0.8,0.04,0.0,0.0,3.19,3.81,0.0,0.02,-0.39,258.28,282.0,0.0,0.0,0.0,
1774905821617102855,5285,9.232,2.1,10.772,-0.7,0.02,0.2,0.0,3.19,3.81,-0.02,0.03,-0.39,258.45,282.0,0.0,0.0,3.81,-0.03
1774905821621178652,11188,9.088,2.6,10.78,-0.8,0.1,-0.12,0.0,3.19,3.81,-0.03,0.03,-0.4,262.57,281.0,0.0,0.0,,-0.37
1774905821625382729,11188,9.088,2.6,10.78,-0.8,0.1,-0.12,0.0,3.19,3.81,-0.03,0.03,-0.4,262.57,281.0,0.0,0.0,0.0,
1774905821629457952,11288,10.172,54.8,9.356,-67.9,2.11,-1.6,0.0,3.19,3.81,-0.08,-0.01,-0.38,257.94,281.0,4.77,3.18,0.0,0.0
1774905821633647436,11387,10.696,44.4,10.724,-14.2,0.8,-1.29,0.0,3.19,3.81,0.16,0.06,-0.48,262.22,282.0,23.82,11.91,0.0,0.0
1774905821637594509,11488,9.024,33.6,10.728,-15.8,0.9,-1.07,0.0,3.19,3.81,0.19,0.02,-0.42,258.28,282.0,22.64,16.3,0.0,0.0
1774905821645832828,11588,10.728,30.3,9.548,-18.6,1.35,-1.27,0.0,3.19,3.81,-0.08,0.12,-0.28,261.02,281.0,22.82,15.74,0.0,0.0
1774905821719504980,11688,10.74,24.2,10.704,-23.8,0.68,-0.88,0.0,3.19,3.81,0.17,0.08,-0.45,260.51,281.0,22.39,17.02,0.0,0.0
