timestamp_ns,fix_time,fix_date,gga_fix_quality,avg_snr,latitude,longitude,altitude_m,speed_over_ground,true_course,num_of_fix_satellites,hdop,vdop,pdop,geoid_separation
1776357575310387432,00:01:31.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357576199035200,00:01:32.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357576940353306,00:01:33.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357577944085615,00:01:34.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357578945081368,00:01:35.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357579940606163,00:01:36.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357580944830132,00:01:37.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357581945126721,00:01:38.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357582944798380,00:01:39.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357583951069731,00:01:40.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357584946157089,00:01:41.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357585950179967,00:01:42.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357586951029855,00:01:43.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357587948954168,00:01:44.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357588947785658,00:01:45.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357589949530223,00:01:46.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357590955532639,00:01:47.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357591954992850,00:01:48.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357592954933722,00:01:49.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357593954373237,00:01:50.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357594962340960,00:01:51.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357595956991393,00:01:52.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357596960550091,00:01:53.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357597959990268,00:01:54.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357598960095946,00:01:55.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357599947988056,00:01:56.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357600961450649,00:01:57.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357601965179259,00:01:58.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357602964930244,00:01:59.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357603953909786,00:02:00.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357604963898033,00:02:01.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357605967214433,00:02:02.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357606970549708,00:02:03.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357607969771956,00:02:04.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357608969228542,00:02:05.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357609968108550,00:02:06.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357610968439028,00:02:07.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357611967785193,00:02:08.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357612968221577,00:02:09.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357613970233905,00:02:10.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357614970150852,00:02:11.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357615969446033,00:02:12.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357616974015739,00:02:13.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357617976620794,00:02:14.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357618973569381,00:02:15.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357619975406541,00:02:16.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357620981263324,00:02:17.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357621981803777,00:02:18.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357622978533752,00:02:19.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357623981543598,00:02:20.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357624984520980,00:02:21.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357625987013978,00:02:22.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357626983321331,00:02:23.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357627980360043,00:02:24.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357628982244296,00:02:25.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357629981207010,00:02:26.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357630984584276,00:02:27.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357631986332424,00:02:28.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357632984225535,00:02:29.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357633984686887,00:02:30.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357634987401888,00:02:31.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357635986510899,00:02:32.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357636989689480,00:02:33.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357637989109974,00:02:34.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357638988313216,00:02:35.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357639992290257,00:02:36.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357640991348963,00:02:37.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357641995120349,00:02:38.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357642993952359,00:02:39.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1776357643990891932,00:02:40.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
