timestamp_ns,time_ms,voltage_left,current_left_ma,voltage_right,current_right_ma,motor_current_left,motor_current_right,euler_x,euler_y,euler_z,acc_lin_x,acc_lin_y,acc_lin_z,sonar_mm,tof_mm,rpm_left,rpm_right,rotations_left,rotations_right
1769952483870639189,2875,0.0,1.2,0.0,0.9,-0.06,0.08,-0.06,-1.19,-0.06,0.02,0.02,-0.36,127.25,253.0,0.0,0.0,0.0,
1769952483968996331,3042,0.0,0.9,0.0,0.5,0.02,-0.04,-0.06,-1.19,-0.06,0.01,0.02,-0.33,127.25,253.0,0.0,0.0,0.0,
1769952484067294650,3142,0.0,0.9,0.0,0.2,0.08,-0.02,-0.06,-1.19,-0.06,0.02,0.01,-0.35,127.25,251.0,0.0,0.0,0.0,
1769952484169812461,3243,0.0,1.0,0.0,0.3,-0.04,-0.04,-0.06,-1.19,-0.06,0.0,0.03,-0.39,127.08,252.0,0.0,0.0,0.0,
1769952484272190904,3343,0.0,1.1,0.0,0.1,-0.04,-0.06,-0.06,-1.19,-0.06,0.01,0.0,-0.38,131.37,252.0,0.0,0.0,0.0,
1769952484370593614,3443,0.0,1.2,0.0,0.2,-0.02,-0.08,-0.06,-1.19,-0.06,0.01,0.04,-0.36,131.37,252.0,0.0,0.0,0.0,
1769952484473038925,3544,0.0,1.1,0.008,0.3,-0.14,0.08,-0.06,-1.19,-0.06,0.0,0.02,-0.35,131.37,254.0,0.0,0.0,0.0,
1769952484571386922,3644,0.0,0.2,0.0,0.3,0.06,-0.08,-0.06,-1.19,-0.06,0.01,-0.01,-0.32,131.37,254.0,0.0,0.0,0.0,
1769952484810162799,3743,0.0,1.0,0.004,0.2,0.04,-0.1,-0.06,-1.19,-0.06,0.01,0.0,-0.33,128.28,249.0,0.0,0.0,0.0,
1769952484870537898,3844,0.0,0.9,0.0,0.1,0.0,0.08,-0.06,-1.19,-0.06,0.02,-0.03,-0.34,131.37,251.0,0.0,0.0,0.0,
1769952484882571555,3944,0.0,1.0,0.0,0.3,-0.1,-0.16,-0.06,-1.19,-0.06,0.02,-0.02,-0.33,127.25,251.0,0.0,0.0,0.0,
1769952484972986784,4044,0.0,0.8,0.0,1.5,-0.12,-0.08,-0.06,-1.19,-0.06,0.01,0.0,-0.39,128.11,251.0,0.0,0.0,0.0,
1769952485081402815,4145,0.0,1.3,0.0,0.5,0.06,-0.08,-0.06,-1.19,-0.06,-0.01,0.07,-0.39,128.28,252.0,0.0,0.0,0.0,
1769952485173759201,4245,0.0,1.5,0.0,1.2,0.02,-0.06,-0.06,-1.19,-0.06,0.0,0.11,-0.39,127.08,252.0,0.0,0.0,0.0,
1769952485272154127,4344,0.036,0.3,0.008,0.5,0.0,-0.02,-0.06,-1.19,-0.06,0.0,0.05,-0.4,127.25,251.0,0.0,0.0,0.0,
