timestamp,prediction,confidence,yaw,kp,kd
18.13,WetSand,74.33,17.809999465942383,2.0,0.2
19.1,WetSand,91.67,16.690000534057617,5.0,0.5
20.16,WetSand,68.67,16.75,5.0,0.5
21.19,WetSand,58.0,16.809999465942383,5.0,0.5
22.2,WetSand,52.33,17.0,5.0,0.5
23.28,WetSand,65.33,16.25,5.0,0.5
24.28,WetSand,64.67,-4.809999942779541,5.0,0.5
25.41,WetSand,77.33,-12.1899995803833,5.0,0.5
26.54,WetSand,75.33,-13.130000114440918,5.0,0.5
27.66,WetSand,75.33,-12.9399995803833,5.0,0.5
28.74,WetSand,77.67,-13.1899995803833,5.0,0.5
47.0,WetSand,72.67,-2.690000057220459,2.0,0.2
51.56,WetSand,65.67,3.809999942779541,5.0,0.5
52.66,WetSand,91.33,0.8100000023841858,5.0,0.5
53.7,WetSand,83.67,-1.25,5.0,0.5
54.76,WetSand,86.0,-3.059999942779541,5.0,0.5
55.8,WetSand,78.67,-4.0,5.0,0.5
56.87,WetSand,67.0,-3.880000114440918,5.0,0.5
58.06,WetSand,85.67,-4.809999942779541,5.0,0.5
59.17,WetSand,82.33,-6.690000057220459,5.0,0.5
60.33,WetSand,73.67,-7.630000114440918,5.0,0.5
61.47,WetSand,61.33,-8.1899995803833,5.0,0.5
62.56,HardIce,60.67,-8.4399995803833,5.0,0.5
63.73,HardIce,48.33,-4.130000114440918,15.0,1.5
64.72,WetSand,61.0,-3.5,15.0,1.5
65.79,WetSand,69.67,-3.880000114440918,5.0,0.5
66.84,WetSand,88.0,-6.380000114440918,5.0,0.5
67.95,WetSand,87.67,-8.130000114440918,5.0,0.5
69.11,WetSand,71.33,-8.880000114440918,5.0,0.5
70.07,WetSand,76.0,-8.4399995803833,5.0,0.5
71.12,WetSand,80.67,-8.4399995803833,5.0,0.5
72.2,WetSand,89.67,-8.9399995803833,5.0,0.5
73.25,WetSand,85.67,-8.4399995803833,5.0,0.5
74.34,WetSand,91.0,-7.880000114440918,5.0,0.5
75.29,WetSand,71.67,-8.5,5.0,0.5
