timestamp,prediction,confidence,yaw,kp,kd
25.09,DrySand,56.67,0.05999999865889549,2.0,0.2
25.43,WetSand,55.0,0.05999999865889549,2.0,0.2
25.76,WetSand,56.0,-0.0,2.0,0.2
26.1,WetSand,49.33,-8.0600004196167,2.5,0.15
27.66,DrySand,50.0,-11.5,2.5,0.15
28.82,DrySand,49.67,-12.4399995803833,2.5,0.15
30.65,DrySand,52.33,-12.380000114440918,2.5,0.15
31.73,DrySand,51.33,-14.25,2.5,0.15
32.75,WetSand,62.67,-15.5600004196167,2.5,0.15
33.84,WetSand,73.33,-16.1200008392334,2.5,0.15
34.92,WetSand,59.0,-16.1200008392334,2.5,0.15
36.01,WetSand,65.0,-16.190000534057617,2.5,0.15
37.01,WetSand,88.0,-16.5,2.5,0.15
38.09,WetSand,76.0,-17.25,2.45,0.1
39.19,WetSand,63.0,-18.309999465942383,2.45,0.1
40.27,WetSand,66.0,-19.690000534057617,2.5,0.15
41.36,WetSand,54.0,-22.0,2.5,0.15
42.36,WetSand,66.67,-23.6200008392334,2.5,0.15
43.41,WetSand,59.0,-23.559999465942383,2.5,0.15
44.48,WetSand,71.0,-22.8700008392334,2.5,0.15
45.54,WetSand,70.67,-22.440000534057617,2.5,0.15
