timestamp,prediction,confidence
10.89,WetSand,100.0
11.74,WetSand,100.0
12.74,WetSand,100.0
13.74,WetSand,100.0
14.74,WetSand,100.0
15.75,WetSand,100.0
16.8,WetSand,100.0
17.75,WetSand,100.0
18.75,WetSand,100.0
19.75,WetSand,100.0
20.76,WetSand,100.0
21.78,WetSand,100.0
22.76,WetSand,100.0
23.75,WetSand,100.0
24.76,WetSand,100.0
25.77,WetSand,100.0
26.76,WetSand,100.0
27.81,WetSand,100.0
28.77,WetSand,100.0
29.77,WetSand,100.0
30.77,WetSand,100.0
31.77,WetSand,100.0
32.79,WetSand,100.0
33.83,WetSand,100.0
34.78,WetSand,100.0
35.78,WetSand,100.0
36.78,WetSand,100.0
37.78,WetSand,100.0
38.8,WetSand,100.0
39.84,WetSand,100.0
40.79,WetSand,100.0
41.78,WetSand,100.0
42.78,WetSand,100.0
43.78,WetSand,100.0
44.81,WetSand,100.0
45.84,WetSand,100.0
46.79,WetSand,100.0
47.79,WetSand,100.0
48.79,WetSand,100.0
49.79,WetSand,100.0
50.81,WetSand,100.0
51.79,WetSand,100.0
52.79,WetSand,100.0
