timestamp,prediction,confidence,yaw,kp,kd
12.59,DrySand,100.0,3.059999942779541,2.0,0.2
13.49,WetSand,100.0,0.6899999976158142,2.0,0.2
14.55,WetSand,100.0,-0.8100000023841858,2.0,0.2
15.6,WetSand,100.0,-2.380000114440918,2.0,0.2
16.59,WetSand,100.0,-4.190000057220459,2.0,0.2
17.76,WetSand,100.0,-6.130000114440918,2.0,0.2
18.76,WetSand,100.0,-7.190000057220459,2.0,0.2
19.77,WetSand,100.0,-9.880000114440918,2.0,0.2
20.82,WetSand,100.0,-11.6899995803833,2.0,0.2
21.82,WetSand,100.0,-12.630000114440918,2.0,0.2
22.89,WetSand,100.0,-13.0,2.0,0.2
23.92,WetSand,100.0,-14.0600004196167,2.0,0.2
24.97,WetSand,100.0,-14.1899995803833,2.0,0.2
26.01,WetSand,100.0,-13.5,2.0,0.2
27.11,WetSand,100.0,-12.8100004196167,2.0,0.2
28.2,WetSand,100.0,-10.630000114440918,2.0,0.2
29.38,WetSand,100.0,-8.6899995803833,2.0,0.2
30.37,WetSand,100.0,-7.0,2.0,0.2
31.48,WetSand,100.0,-5.059999942779541,2.0,0.2
32.54,WetSand,100.0,-3.0,2.0,0.2
33.59,DrySand,100.0,0.11999999731779099,2.0,0.2
34.56,WetSand,100.0,1.559999942779541,2.0,0.2
35.56,WetSand,100.0,2.880000114440918,2.0,0.2
36.56,WetSand,100.0,2.75,2.0,0.2
37.62,WetSand,100.0,2.130000114440918,2.0,0.2
38.78,WetSand,100.0,1.6299999952316284,2.0,0.2
39.86,WetSand,100.0,1.6299999952316284,2.0,0.2
