timestamp,prediction,confidence
22.82,WetSand,93.0
23.58,WetSand,94.0
24.58,WetSand,93.67
25.58,WetSand,92.67
26.58,WetSand,92.33
27.62,WetSand,93.67
28.58,WetSand,94.0
29.58,WetSand,92.67
30.59,WetSand,94.0
31.59,WetSand,93.0
32.59,WetSand,92.67
33.63,WetSand,93.33
34.58,WetSand,94.0
35.59,WetSand,93.67
36.58,WetSand,93.0
37.59,WetSand,93.0
38.68,WetSand,92.33
39.58,WetSand,92.67
40.6,WetSand,93.67
41.69,WetSand,93.67
42.59,WetSand,93.67
43.8,WetSand,94.0
44.64,WetSand,94.0
45.62,WetSand,92.67
46.7,WetSand,92.67
47.59,WetSand,95.33
48.81,WetSand,95.67
49.58,WetSand,95.33
50.71,WetSand,93.0
51.61,WetSand,93.0
52.62,WetSand,95.67
53.62,WetSand,94.33
54.7,WetSand,96.67
55.62,WetSand,97.0
56.62,WetSand,97.67
57.73,WetSand,95.33
58.71,WetSand,96.67
59.71,WetSand,97.0
60.69,WetSand,97.0
61.64,WetSand,97.0
62.64,WetSand,95.33
63.65,WetSand,95.67
64.74,WetSand,94.33
65.72,WetSand,93.33
66.81,WetSand,85.0
67.87,WetSand,82.33
68.93,WetSand,93.67
70.12,WetSand,91.67
71.01,WetSand,95.0
72.07,WetSand,92.33
73.07,WetSand,92.33
74.2,WetSand,66.0
75.27,WetSand,62.33
76.21,WetSand,96.67
77.26,WetSand,82.33
78.34,WetSand,79.67
79.46,WetSand,57.67
80.67,WetSand,57.0
81.59,WetSand,70.33
82.71,WetSand,77.0
83.83,WetSand,57.67
84.99,DrySand,50.67
86.16,DrySand,50.33
87.17,WetSand,67.33
88.26,WetSand,73.33
89.37,WetSand,63.67
90.53,WetSand,57.0
91.83,WetSand,54.33
92.95,WetSand,56.0
93.98,WetSand,57.0
95.15,WetSand,52.0
96.2,DrySand,51.67
97.37,WetSand,72.33
98.47,WetSand,58.67
99.61,WetSand,54.0
100.79,WetSand,57.67
102.01,WetSand,53.67
103.17,WetSand,50.67
104.24,WetSand,58.33
105.4,WetSand,56.67
106.51,WetSand,55.67
107.7,WetSand,54.0
108.83,WetSand,51.33
109.84,WetSand,87.33
110.96,WetSand,89.0
112.08,WetSand,53.67
113.19,WetSand,54.67
114.38,WetSand,57.67
115.39,WetSand,60.67
116.51,WetSand,80.0
117.77,WetSand,54.0
118.79,WetSand,54.0
120.0,WetSand,83.0
120.83,WetSand,92.67
121.87,WetSand,96.0
122.91,WetSand,97.67
124.05,WetSand,57.0
125.18,WetSand,55.67
126.16,WetSand,80.67
127.21,WetSand,96.67
128.2,WetSand,96.67
129.24,WetSand,96.33
130.27,WetSand,96.33
131.29,WetSand,95.33
132.34,WetSand,90.0
133.38,WetSand,81.0
134.44,WetSand,87.67
135.48,WetSand,95.67
136.71,WetSand,86.0
137.67,WetSand,71.67
139.41,WetSand,60.33
140.72,WetSand,60.0
141.74,WetSand,56.33
142.85,WetSand,57.67
144.09,WetSand,55.67
145.28,WetSand,55.67
146.47,WetSand,60.0
147.64,WetSand,56.33
148.84,WetSand,57.33
149.95,WetSand,58.0
151.05,WetSand,59.67
152.28,WetSand,57.33
153.33,WetSand,54.67
154.47,WetSand,63.67
155.61,WetSand,59.0
156.84,WetSand,61.33
157.98,WetSand,57.67
159.0,WetSand,80.33
160.19,WetSand,58.0
161.39,WetSand,52.33
162.67,WetSand,56.33
163.82,WetSand,53.0
164.9,WetSand,54.33
166.02,WetSand,62.33
167.18,WetSand,58.33
168.33,WetSand,58.33
169.47,WetSand,62.0
170.57,WetSand,56.67
171.67,WetSand,58.33
172.73,WetSand,80.67
173.87,WetSand,64.0
175.03,WetSand,61.33
176.13,WetSand,61.67
177.27,WetSand,58.67
178.41,WetSand,55.0
179.62,WetSand,55.67
180.96,WetSand,57.67
182.02,WetSand,56.67
183.21,WetSand,55.67
184.43,WetSand,56.67
