timestamp,prediction,confidence
39.51,WetSand,70.33
40.32,WetSand,70.0
41.3,WetSand,69.33
42.29,WetSand,73.0
43.3,WetSand,72.33
44.33,WetSand,70.0
45.3,WetSand,70.0
46.31,WetSand,69.67
47.31,WetSand,71.0
48.32,WetSand,71.67
49.36,WetSand,85.0
50.32,WetSand,87.67
51.34,WetSand,89.33
52.44,WetSand,92.0
53.49,WetSand,89.33
54.58,WetSand,90.0
55.53,WetSand,90.33
56.58,WetSand,90.33
57.58,WetSand,91.0
58.61,WetSand,89.67
59.66,WetSand,88.0
60.65,WetSand,88.33
61.64,WetSand,90.33
62.65,WetSand,89.67
63.76,WetSand,89.67
64.87,WetSand,90.33
65.83,WetSand,89.67
66.84,WetSand,90.33
67.95,WetSand,87.0
68.97,WetSand,77.67
70.02,WetSand,88.67
71.09,WetSand,88.0
72.11,WetSand,89.33
73.27,WetSand,90.33
74.44,WetSand,88.67
75.7,WetSand,81.67
76.74,WetSand,72.0
77.87,WetSand,83.0
79.08,WetSand,82.67
80.2,WetSand,81.67
81.43,WetSand,73.67
82.47,WetSand,78.33
83.65,WetSand,79.33
84.81,WetSand,84.0
85.97,WetSand,89.0
87.19,WetSand,89.67
88.25,WetSand,90.33
89.27,WetSand,89.33
90.46,WetSand,88.67
91.61,WetSand,88.0
92.75,WetSand,88.33
93.84,WetSand,90.0
94.97,WetSand,87.33
96.14,WetSand,88.67
97.2,WetSand,86.67
98.48,WetSand,89.67
99.46,WetSand,87.0
100.57,WetSand,85.67
101.63,WetSand,87.33
102.76,WetSand,84.33
104.0,WetSand,78.0
104.99,WetSand,86.67
106.13,WetSand,87.33
107.2,WetSand,86.67
108.32,WetSand,82.67
109.43,WetSand,76.0
110.39,WetSand,84.0
111.55,WetSand,83.0
112.55,WetSand,73.33
113.86,WetSand,72.0
114.78,WetSand,74.33
115.81,WetSand,75.67
116.9,WetSand,61.33
117.95,WetSand,71.0
118.99,WetSand,78.33
120.15,WetSand,83.33
121.28,WetSand,85.0
122.39,WetSand,83.67
123.42,WetSand,82.67
124.49,WetSand,78.0
125.54,WetSand,72.0
126.6,WetSand,74.67
127.63,WetSand,75.0
128.66,WetSand,74.33
129.76,WetSand,82.0
130.97,WetSand,86.67
132.14,WetSand,87.0
133.31,WetSand,83.33
134.39,WetSand,87.67
135.66,WetSand,90.0
136.74,WetSand,86.33
137.81,WetSand,83.33
138.96,WetSand,79.0
140.11,WetSand,86.67
141.25,WetSand,88.33
142.65,WetSand,85.33
143.57,WetSand,77.0
144.71,WetSand,70.0
145.86,WetSand,72.33
146.89,WetSand,75.67
148.16,WetSand,76.67
149.27,WetSand,74.67
150.47,WetSand,70.33
151.59,WetSand,70.0
152.68,WetSand,67.0
153.85,WetSand,70.0
154.9,WetSand,76.33
156.02,WetSand,80.33
157.14,WetSand,78.67
158.29,WetSand,79.67
159.44,WetSand,78.67
160.51,WetSand,86.0
161.73,WetSand,88.67
162.73,WetSand,85.33
163.79,WetSand,86.33
164.91,WetSand,85.67
166.04,WetSand,84.67
167.26,WetSand,78.0
168.68,WetSand,72.67
169.63,WetSand,73.33
170.87,WetSand,73.0
172.01,WetSand,74.0
