timestamp,prediction,confidence,yaw,kp,kd
11.72,WetSand,100.0,1.940000057220459,2.0,0.2
12.69,WetSand,100.0,2.880000114440918,2.0,0.2
13.84,WetSand,100.0,3.5,2.0,0.2
14.88,WetSand,100.0,3.309999942779541,2.0,0.2
16.0,WetSand,100.0,3.559999942779541,2.0,0.2
17.14,WetSand,100.0,4.25,2.0,0.2
18.16,WetSand,100.0,4.5,2.0,0.2
19.17,WetSand,100.0,4.380000114440918,2.0,0.2
20.24,WetSand,100.0,4.559999942779541,2.0,0.2
21.26,WetSand,100.0,4.940000057220459,2.0,0.2
22.33,WetSand,100.0,4.940000057220459,2.0,0.2
23.28,WetSand,100.0,4.559999942779541,2.0,0.2
24.35,WetSand,100.0,3.880000114440918,2.0,0.2
25.37,WetSand,100.0,3.880000114440918,2.0,0.2
26.47,WetSand,100.0,3.559999942779541,2.0,0.2
27.61,WetSand,100.0,2.880000114440918,2.0,0.2
28.66,WetSand,100.0,2.130000114440918,2.0,0.2
29.76,WetSand,100.0,1.0,2.0,0.2
30.78,WetSand,100.0,-0.0,2.0,0.2
31.82,WetSand,100.0,-1.309999942779541,2.0,0.2
32.93,WetSand,100.0,-2.630000114440918,2.0,0.2
33.91,WetSand,100.0,-3.380000114440918,2.0,0.2
34.96,WetSand,100.0,-3.059999942779541,2.0,0.2
36.02,WetSand,100.0,-2.380000114440918,2.0,0.2
37.05,WetSand,100.0,-1.440000057220459,2.0,0.2
38.15,WetSand,100.0,-0.8100000023841858,2.0,0.2
